category	country	value	filename	url
beds	Burundi 3	27	480x480-c8a0ac9a-3052-49d5-a2d0-a7a4c38eaf04	https://static.dollarstreet.org/media/Burundi 3/image/c8a0ac9a-3052-49d5-a2d0-a7a4c38eaf04/480x480-c8a0ac9a-3052-49d5-a2d0-a7a4c38eaf04.jpg
beds	Bangladesh 10	175	480x480-15d29bcf-451d-48fe-b5e3-d4f7c0052564	https://static.dollarstreet.org/media/Bangladesh 10/image/15d29bcf-451d-48fe-b5e3-d4f7c0052564/480x480-15d29bcf-451d-48fe-b5e3-d4f7c0052564.jpg
beds	Russia 1	578	480x480-eed91b2e-62b7-4b19-ad89-f5a87381da13	https://static.dollarstreet.org/media/Russia 1/image/eed91b2e-62b7-4b19-ad89-f5a87381da13/480x480-eed91b2e-62b7-4b19-ad89-f5a87381da13.jpg
beds	China 18	10098	480x480-32fc917e-f8f6-487c-a175-09bd65ac609e	https://static.dollarstreet.org/media/China 18/image/32fc917e-f8f6-487c-a175-09bd65ac609e/480x480-32fc917e-f8f6-487c-a175-09bd65ac609e.jpg
beds	India 12	29	480x480-215a2658-73ec-442d-82de-e75719d00d68	https://static.dollarstreet.org/media/India 12/image/215a2658-73ec-442d-82de-e75719d00d68/480x480-215a2658-73ec-442d-82de-e75719d00d68.jpg
beds	Tunisia 1	176	480x480-a83fb73f-5ccd-44ed-a4de-173b1c050807	https://static.dollarstreet.org/media/Tunisia 1/image/a83fb73f-5ccd-44ed-a4de-173b1c050807/480x480-a83fb73f-5ccd-44ed-a4de-173b1c050807.jpg
beds	China 1	578	480x480-5011a0a3-7e06-411d-81ff-c3a0ed1da3bc	https://static.dollarstreet.org/media/China 1/image/5011a0a3-7e06-411d-81ff-c3a0ed1da3bc/480x480-5011a0a3-7e06-411d-81ff-c3a0ed1da3bc.jpg
beds	Ukraine 2	10090	480x480-05e19a5a-f35c-4f7d-8b22-cc6531b53b33	https://static.dollarstreet.org/media/Ukraine 2/image/05e19a5a-f35c-4f7d-8b22-cc6531b53b33/480x480-05e19a5a-f35c-4f7d-8b22-cc6531b53b33.jpg
beds	Malawi 6	30	480x480-4622cd1a-61e5-4832-9eb8-9f9db2655660	https://static.dollarstreet.org/media/Malawi 6/image/4622cd1a-61e5-4832-9eb8-9f9db2655660/480x480-4622cd1a-61e5-4832-9eb8-9f9db2655660.jpg
beds	Thailand 3	179	480x480-514bced9-8059-4bfb-b1e8-35027bdae60a	https://static.dollarstreet.org/media/Thailand 3/image/514bced9-8059-4bfb-b1e8-35027bdae60a/480x480-514bced9-8059-4bfb-b1e8-35027bdae60a.jpg
beds	USA 7	604	480x480-76a8b781-9a71-4f89-97f3-73ef9ec8f41d	https://static.dollarstreet.org/media/USA 7/image/76a8b781-9a71-4f89-97f3-73ef9ec8f41d/480x480-76a8b781-9a71-4f89-97f3-73ef9ec8f41d.jpg
beds	Jordan 4	7433	480x480-66ed5204-ed4c-438b-a0e3-241785534aa0	https://static.dollarstreet.org/media/Jordan 4/image/66ed5204-ed4c-438b-a0e3-241785534aa0/480x480-66ed5204-ed4c-438b-a0e3-241785534aa0.jpg
beds	India 10	31	480x480-78873641-8181-4845-ba16-7ffba37e8a6c	https://static.dollarstreet.org/media/India 10/image/78873641-8181-4845-ba16-7ffba37e8a6c/480x480-78873641-8181-4845-ba16-7ffba37e8a6c.jpg
beds	Cameroon 1	174	480x480-873e54a9-8cbb-4be5-b83d-a84465edfe3e	https://static.dollarstreet.org/media/Cameroon 1/image/873e54a9-8cbb-4be5-b83d-a84465edfe3e/480x480-873e54a9-8cbb-4be5-b83d-a84465edfe3e.jpg
beds	India 17	526	480x480-87896da3-73a6-473e-bc60-eda782c89ac9	https://static.dollarstreet.org/media/India 17/image/87896da3-73a6-473e-bc60-eda782c89ac9/480x480-87896da3-73a6-473e-bc60-eda782c89ac9.jpg
beds	Mexico 1	6342	480x480-d4f3f0fc-6585-4c9d-aa23-0ca5c5c3918f	https://static.dollarstreet.org/media/Mexico 1/image/d4f3f0fc-6585-4c9d-aa23-0ca5c5c3918f/480x480-d4f3f0fc-6585-4c9d-aa23-0ca5c5c3918f.jpg
beds	Zimbabwe 4	34	480x480-19c6e649-ad1f-45c1-a611-8959b4d4ab0b	https://static.dollarstreet.org/media/Zimbabwe 4/image/19c6e649-ad1f-45c1-a611-8959b4d4ab0b/480x480-19c6e649-ad1f-45c1-a611-8959b4d4ab0b.jpg
