category	country	value	filename	url
cleaning_equipment	Burundi 3	27	480x480-7354ea63-cae0-4dbd-bd82-a802f82fb4c2	https://static.dollarstreet.org/media/Burundi 3/image/7354ea63-cae0-4dbd-bd82-a802f82fb4c2/480x480-7354ea63-cae0-4dbd-bd82-a802f82fb4c2.jpg
cleaning_equipment	Philippines 13	169	480x480-3ac99bdd-d30c-43ef-8e24-8bb114555fad	https://static.dollarstreet.org/media/Philippines 13/image/3ac99bdd-d30c-43ef-8e24-8bb114555fad/480x480-3ac99bdd-d30c-43ef-8e24-8bb114555fad.jpg
cleaning_equipment	Philippines 9	501	480x480-80d87fb5-73d3-40bb-b240-603f7b7f4e7e	https://static.dollarstreet.org/media/Philippines 9/image/80d87fb5-73d3-40bb-b240-603f7b7f4e7e/480x480-80d87fb5-73d3-40bb-b240-603f7b7f4e7e.jpg
cleaning_equipment	Ukraine 2	10090	480x480-1350ce13-04e5-4175-b577-7f185246e124	https://static.dollarstreet.org/media/Ukraine 2/image/1350ce13-04e5-4175-b577-7f185246e124/480x480-1350ce13-04e5-4175-b577-7f185246e124.jpg
cleaning_equipment	India 12	29	480x480-c4e74e6b-2999-4afc-bfb8-ac293c58d935	https://static.dollarstreet.org/media/India 12/image/c4e74e6b-2999-4afc-bfb8-ac293c58d935/480x480-c4e74e6b-2999-4afc-bfb8-ac293c58d935.jpg
cleaning_equipment	Colombia 2	163	480x480-102c4dc2-c8e7-4d22-97f2-67aa141a0776	https://static.dollarstreet.org/media/Colombia 2/image/102c4dc2-c8e7-4d22-97f2-67aa141a0776/480x480-102c4dc2-c8e7-4d22-97f2-67aa141a0776.jpg
cleaning_equipment	Latvia 4	480	480x480-69503efd-ad45-4864-ab75-ab3d65c83e34	https://static.dollarstreet.org/media/Latvia 4/image/69503efd-ad45-4864-ab75-ab3d65c83e34/480x480-69503efd-ad45-4864-ab75-ab3d65c83e34.jpg
cleaning_equipment	Jordan 4	7433	480x480-b406608e-fcfb-4116-a41e-84ffb4a2968f	https://static.dollarstreet.org/media/Jordan 4/image/b406608e-fcfb-4116-a41e-84ffb4a2968f/480x480-b406608e-fcfb-4116-a41e-84ffb4a2968f.jpg
cleaning_equipment	Malawi 6	30	480x480-c7475476-fb20-45e2-b09f-c275d923caee	https://static.dollarstreet.org/media/Malawi 6/image/c7475476-fb20-45e2-b09f-c275d923caee/480x480-c7475476-fb20-45e2-b09f-c275d923caee.jpg
cleaning_equipment	India 11	170	480x480-2552c6ee-f0c5-4ccd-871d-2d14f829acb8	https://static.dollarstreet.org/media/India 11/image/2552c6ee-f0c5-4ccd-871d-2d14f829acb8/480x480-2552c6ee-f0c5-4ccd-871d-2d14f829acb8.jpg
cleaning_equipment	India 17	526	480x480-61625323-c344-4e6d-960e-ecbc997338df	https://static.dollarstreet.org/media/India 17/image/61625323-c344-4e6d-960e-ecbc997338df/480x480-61625323-c344-4e6d-960e-ecbc997338df.jpg
cleaning_equipment	Mexico 1	6342	480x480-b2805436-ba35-4fd3-bdd5-5a392e57de92	https://static.dollarstreet.org/media/Mexico 1/image/b2805436-ba35-4fd3-bdd5-5a392e57de92/480x480-b2805436-ba35-4fd3-bdd5-5a392e57de92.jpg
cleaning_equipment	India 10	31	480x480-4df2ce7a-b079-49b6-84cd-fe593d722f13	https://static.dollarstreet.org/media/India 10/image/4df2ce7a-b079-49b6-84cd-fe593d722f13/480x480-4df2ce7a-b079-49b6-84cd-fe593d722f13.jpg
cleaning_equipment	Romania 3	163	480x480-1bcc4315-1321-427f-aeb3-555946bf84c3	https://static.dollarstreet.org/media/Romania 3/image/1bcc4315-1321-427f-aeb3-555946bf84c3/480x480-1bcc4315-1321-427f-aeb3-555946bf84c3.jpg
cleaning_equipment	Rwanda 1	460	480x480-4a682acb-3540-4b2a-b73c-c547072173a0	https://static.dollarstreet.org/media/Rwanda 1/image/4a682acb-3540-4b2a-b73c-c547072173a0/480x480-4a682acb-3540-4b2a-b73c-c547072173a0.jpg
cleaning_equipment	Sweden 6	4883	480x480-9c558bb8-fc16-4ec8-a913-63bf218de971	https://static.dollarstreet.org/media/Sweden 6/image/9c558bb8-fc16-4ec8-a913-63bf218de971/480x480-9c558bb8-fc16-4ec8-a913-63bf218de971.jpg
cleaning_equipment	Zimbabwe 4	34	480x480-09b16172-f1f4-45f8-904e-1e237cdd399e	https://static.dollarstreet.org/media/Zimbabwe 4/image/09b16172-f1f4-45f8-904e-1e237cdd399e/480x480-09b16172-f1f4-45f8-904e-1e237cdd399e.jpg
cleaning_equipment	Philippines 7	170	480x480-2bc82b0b-d95e-4ba8-abe7-065ee4c4e5f1	https://static.dollarstreet.org/media/Philippines 7/image/2bc82b0b-d95e-4ba8-abe7-065ee4c4e5f1/480x480-2bc82b0b-d95e-4ba8-abe7-065ee4c4e5f1.jpg
cleaning_equipment	China 1	578	480x480-8f3dcb8e-02aa-4f05-a621-27dae228cd85	https://static.dollarstreet.org/media/China 1/image/8f3dcb8e-02aa-4f05-a621-27dae228cd85/480x480-8f3dcb8e-02aa-4f05-a621-27dae228cd85.jpg
cleaning_equipment	USA 6	4650	480x480-cef0e744-aef6-4625-a528-54db14e13edb	https://static.dollarstreet.org/media/USA 6/image/cef0e744-aef6-4625-a528-54db14e13edb/480x480-cef0e744-aef6-4625-a528-54db14e13edb.jpg
cleaning_equipment	Haiti 3	39	480x480-eabb2119-f00b-450f-8b73-5d6dd9fef45e	https://static.dollarstreet.org/media/Haiti 3/image/eabb2119-f00b-450f-8b73-5d6dd9fef45e/480x480-eabb2119-f00b-450f-8b73-5d6dd9fef45e.jpg
cleaning_equipment	Kenya 1	174	480x480-b29d2846-cd9a-4cbd-955e-fb8bcab0c002	https://static.dollarstreet.org/media/Kenya 1/image/b29d2846-cd9a-4cbd-955e-fb8bcab0c002/480x480-b29d2846-cd9a-4cbd-955e-fb8bcab0c002.jpg
