category	country	value	filename	url
cups	Burundi 3	27	480x480-a2bd8862-bb70-4a8f-ac57-13af09513bc6	https://static.dollarstreet.org/media/Burundi 3/image/a2bd8862-bb70-4a8f-ac57-13af09513bc6/480x480-a2bd8862-bb70-4a8f-ac57-13af09513bc6.jpg
cups	Tunisia 1	176	480x480-c36c2164-e7eb-4ff7-bf8a-b40b75afb8ed	https://static.dollarstreet.org/media/Tunisia 1/image/c36c2164-e7eb-4ff7-bf8a-b40b75afb8ed/480x480-c36c2164-e7eb-4ff7-bf8a-b40b75afb8ed.jpg
cups	Jordan 2	583	480x480-74f3192e-1f3f-4bcc-bd30-6c093a95381e	https://static.dollarstreet.org/media/Jordan 2/image/74f3192e-1f3f-4bcc-bd30-6c093a95381e/480x480-74f3192e-1f3f-4bcc-bd30-6c093a95381e.jpg
cups	Ukraine 2	10090	480x480-215217c2-a821-4077-a298-1221ee9814a7	https://static.dollarstreet.org/media/Ukraine 2/image/215217c2-a821-4077-a298-1221ee9814a7/480x480-215217c2-a821-4077-a298-1221ee9814a7.jpg
cups	India 12	29	480x480-68928746-520d-454c-934d-850d8f6ea417	https://static.dollarstreet.org/media/India 12/image/68928746-520d-454c-934d-850d8f6ea417/480x480-68928746-520d-454c-934d-850d8f6ea417.jpg
cups	Bangladesh 10	175	480x480-df3cdeb6-5019-4516-a684-feef12aa26cb	https://static.dollarstreet.org/media/Bangladesh 10/image/df3cdeb6-5019-4516-a684-feef12aa26cb/480x480-df3cdeb6-5019-4516-a684-feef12aa26cb.jpg
cups	Russia 1	578	480x480-43d9a37a-1113-441b-b970-8e7b226228b3	https://static.dollarstreet.org/media/Russia 1/image/43d9a37a-1113-441b-b970-8e7b226228b3/480x480-43d9a37a-1113-441b-b970-8e7b226228b3.jpg
cups	Jordan 4	7433	480x480-63fb8461-373c-467b-a928-6634e3ce76a6	https://static.dollarstreet.org/media/Jordan 4/image/63fb8461-373c-467b-a928-6634e3ce76a6/480x480-63fb8461-373c-467b-a928-6634e3ce76a6.jpg
cups	Malawi 6	30	480x480-677fb064-7aaf-44f6-8e7c-1ed446eb7712	https://static.dollarstreet.org/media/Malawi 6/image/677fb064-7aaf-44f6-8e7c-1ed446eb7712/480x480-677fb064-7aaf-44f6-8e7c-1ed446eb7712.jpg
cups	Bolivia 3	180	480x480-71f18f90-0326-4f62-ad0f-3c275b01bdea	https://static.dollarstreet.org/media/Bolivia 3/image/71f18f90-0326-4f62-ad0f-3c275b01bdea/480x480-71f18f90-0326-4f62-ad0f-3c275b01bdea.jpg
cups	Myanmar 1	591	480x480-d4762cb7-858a-4ff1-ba7f-29c4471b3d95	https://static.dollarstreet.org/media/Myanmar 1/image/d4762cb7-858a-4ff1-ba7f-29c4471b3d95/480x480-d4762cb7-858a-4ff1-ba7f-29c4471b3d95.jpg
cups	Mexico 1	6342	480x480-5ea4e29e-94d9-4fca-86be-a35c981be282	https://static.dollarstreet.org/media/Mexico 1/image/5ea4e29e-94d9-4fca-86be-a35c981be282/480x480-5ea4e29e-94d9-4fca-86be-a35c981be282.jpg
cups	India 10	31	480x480-f15d2f91-29d7-438b-a928-87a0d6ac376e	https://static.dollarstreet.org/media/India 10/image/f15d2f91-29d7-438b-a928-87a0d6ac376e/480x480-f15d2f91-29d7-438b-a928-87a0d6ac376e.jpg
cups	Kenya 1	174	480x480-abe0557f-9aa4-4cee-b119-69528ddafe01	https://static.dollarstreet.org/media/Kenya 1/image/abe0557f-9aa4-4cee-b119-69528ddafe01/480x480-abe0557f-9aa4-4cee-b119-69528ddafe01.jpg
cups	USA 7	604	480x480-9b8e4721-f0d3-4d08-a13d-b5ded7285049	https://static.dollarstreet.org/media/USA 7/image/9b8e4721-f0d3-4d08-a13d-b5ded7285049/480x480-9b8e4721-f0d3-4d08-a13d-b5ded7285049.jpg
cups	China 26	4734	480x480-8a40d1bf-8af5-44e9-9f91-b9eba7ccaf3e	https://static.dollarstreet.org/media/China 26/image/8a40d1bf-8af5-44e9-9f91-b9eba7ccaf3e/480x480-8a40d1bf-8af5-44e9-9f91-b9eba7ccaf3e.jpg
cups	Zimbabwe 4	34	480x480-3871cef3-8614-4c3c-940a-c546a220e5a3	https://static.dollarstreet.org/media/Zimbabwe 4/image/3871cef3-8614-4c3c-940a-c546a220e5a3/480x480-3871cef3-8614-4c3c-940a-c546a220e5a3.jpg
cups	Philippines 1	194	480x480-599b96a0-cf90-475b-a390-56d271f04569	https://static.dollarstreet.org/media/Philippines 1/image/599b96a0-cf90-475b-a390-56d271f04569/480x480-599b96a0-cf90-475b-a390-56d271f04569.jpg
cups	Indonesia 8	565	480x480-5789d4ed-e856-41e2-a132-2fb52929ab15	https://static.dollarstreet.org/media/Indonesia 8/image/5789d4ed-e856-41e2-a132-2fb52929ab15/480x480-5789d4ed-e856-41e2-a132-2fb52929ab15.jpg
cups	USA 6	4650	480x480-cfa8a4d9-5774-4664-b4fe-15845a55fdfd	https://static.dollarstreet.org/media/USA 6/image/cfa8a4d9-5774-4664-b4fe-15845a55fdfd/480x480-cfa8a4d9-5774-4664-b4fe-15845a55fdfd.jpg
