category	country	value	filename	url
cutlery	Burundi 3	27	480x480-e96ba582-56f1-4784-a519-b44e1ca068a9	https://static.dollarstreet.org/media/Burundi 3/image/e96ba582-56f1-4784-a519-b44e1ca068a9/480x480-e96ba582-56f1-4784-a519-b44e1ca068a9.jpg
cutlery	Philippines 1	194	480x480-83f66675-1c66-4960-b048-be79be775efb	https://static.dollarstreet.org/media/Philippines 1/image/83f66675-1c66-4960-b048-be79be775efb/480x480-83f66675-1c66-4960-b048-be79be775efb.jpg
cutlery	USA 7	604	480x480-369f4415-9dbf-413e-80f9-9da1e2c4ebed	https://static.dollarstreet.org/media/USA 7/image/369f4415-9dbf-413e-80f9-9da1e2c4ebed/480x480-369f4415-9dbf-413e-80f9-9da1e2c4ebed.jpg
cutlery	Ukraine 2	10090	480x480-811fedc5-62b6-4b88-86ec-53cb986fc3e6	https://static.dollarstreet.org/media/Ukraine 2/image/811fedc5-62b6-4b88-86ec-53cb986fc3e6/480x480-811fedc5-62b6-4b88-86ec-53cb986fc3e6.jpg
cutlery	India 12	29	480x480-583b4fb4-cf6f-4ee3-bb51-3bfb6b7647d8	https://static.dollarstreet.org/media/India 12/image/583b4fb4-cf6f-4ee3-bb51-3bfb6b7647d8/480x480-583b4fb4-cf6f-4ee3-bb51-3bfb6b7647d8.jpg
cutlery	Bolivia 3	180	480x480-1f1f3520-bb42-40c4-b5a8-694fd6959cc1	https://static.dollarstreet.org/media/Bolivia 3/image/1f1f3520-bb42-40c4-b5a8-694fd6959cc1/480x480-1f1f3520-bb42-40c4-b5a8-694fd6959cc1.jpg
cutlery	Palestine 2	624	480x480-ec71d122-0ba7-4145-86f3-82c870ba0cc7	https://static.dollarstreet.org/media/Palestine 2/image/ec71d122-0ba7-4145-86f3-82c870ba0cc7/480x480-ec71d122-0ba7-4145-86f3-82c870ba0cc7.jpg
cutlery	Jordan 4	7433	480x480-46eddae6-f5cc-4959-96a6-486995e05ecd	https://static.dollarstreet.org/media/Jordan 4/image/46eddae6-f5cc-4959-96a6-486995e05ecd/480x480-46eddae6-f5cc-4959-96a6-486995e05ecd.jpg
cutlery	Malawi 6	30	480x480-44cd77b3-d906-4e74-bc26-ff9d0779502b	https://static.dollarstreet.org/media/Malawi 6/image/44cd77b3-d906-4e74-bc26-ff9d0779502b/480x480-44cd77b3-d906-4e74-bc26-ff9d0779502b.jpg
cutlery	Myanmar 6	195	480x480-2ecebabd-b7ff-4abd-9dc6-f18c307434f9	https://static.dollarstreet.org/media/Myanmar 6/image/2ecebabd-b7ff-4abd-9dc6-f18c307434f9/480x480-2ecebabd-b7ff-4abd-9dc6-f18c307434f9.jpg
