category	country	value	filename	url
everyday_shoes	Burundi 3	27	480x480-2977f5c5-e7f8-4aba-9ca5-41e0a4139173	https://static.dollarstreet.org/media/Burundi 3/image/2977f5c5-e7f8-4aba-9ca5-41e0a4139173/480x480-2977f5c5-e7f8-4aba-9ca5-41e0a4139173.jpg
everyday_shoes	Cameroon 1	174	480x480-bb19ba12-e608-4b17-825b-0f18fb944c7f	https://static.dollarstreet.org/media/Cameroon 1/image/bb19ba12-e608-4b17-825b-0f18fb944c7f/480x480-bb19ba12-e608-4b17-825b-0f18fb944c7f.jpg
everyday_shoes	Jordan 2	583	480x480-ad21a542-0d87-4cbe-ae6b-2a684c7cd83c	https://static.dollarstreet.org/media/Jordan 2/image/ad21a542-0d87-4cbe-ae6b-2a684c7cd83c/480x480-ad21a542-0d87-4cbe-ae6b-2a684c7cd83c.jpg
everyday_shoes	China 18	10098	480x480-9e6e044d-a8ef-4a81-8e8a-932714fd6923	https://static.dollarstreet.org/media/China 18/image/9e6e044d-a8ef-4a81-8e8a-932714fd6923/480x480-9e6e044d-a8ef-4a81-8e8a-932714fd6923.jpg
everyday_shoes	India 12	29	480x480-9e0ff10f-0e73-47ac-9c05-201209447071	https://static.dollarstreet.org/media/India 12/image/9e0ff10f-0e73-47ac-9c05-201209447071/480x480-9e0ff10f-0e73-47ac-9c05-201209447071.jpg
everyday_shoes	Bangladesh 10	175	480x480-2ac3736e-f40d-4912-9143-fe080c62a4e5	https://static.dollarstreet.org/media/Bangladesh 10/image/2ac3736e-f40d-4912-9143-fe080c62a4e5/480x480-2ac3736e-f40d-4912-9143-fe080c62a4e5.jpg
everyday_shoes	Russia 1	578	480x480-7d95d630-29c1-47fc-8a3a-2cc2f6768917	https://static.dollarstreet.org/media/Russia 1/image/7d95d630-29c1-47fc-8a3a-2cc2f6768917/480x480-7d95d630-29c1-47fc-8a3a-2cc2f6768917.jpg
everyday_shoes	Ukraine 2	10090	480x480-a0cb4dc2-d16c-4108-bc80-34c83e7045fb	https://static.dollarstreet.org/media/Ukraine 2/image/a0cb4dc2-d16c-4108-bc80-34c83e7045fb/480x480-a0cb4dc2-d16c-4108-bc80-34c83e7045fb.jpg
everyday_shoes	Malawi 6	30	480x480-8789635b-e917-4049-a56c-bdd7f8647a72	https://static.dollarstreet.org/media/Malawi 6/image/8789635b-e917-4049-a56c-bdd7f8647a72/480x480-8789635b-e917-4049-a56c-bdd7f8647a72.jpg
everyday_shoes	Tunisia 1	176	480x480-19a0fc3c-2122-4402-99e9-9566414d0bf2	https://static.dollarstreet.org/media/Tunisia 1/image/19a0fc3c-2122-4402-99e9-9566414d0bf2/480x480-19a0fc3c-2122-4402-99e9-9566414d0bf2.jpg
everyday_shoes	USA 7	604	480x480-c938e762-10b1-4348-a76b-3c346c4df817	https://static.dollarstreet.org/media/USA 7/image/c938e762-10b1-4348-a76b-3c346c4df817/480x480-c938e762-10b1-4348-a76b-3c346c4df817.jpg
everyday_shoes	Jordan 4	7433	480x480-4b265912-3ffb-4d92-8b36-e7fa6e70fd5b	https://static.dollarstreet.org/media/Jordan 4/image/4b265912-3ffb-4d92-8b36-e7fa6e70fd5b/480x480-4b265912-3ffb-4d92-8b36-e7fa6e70fd5b.jpg
everyday_shoes	India 10	31	480x480-5bb4a8fc-1279-48cf-9fee-c9171d834f5b	https://static.dollarstreet.org/media/India 10/image/5bb4a8fc-1279-48cf-9fee-c9171d834f5b/480x480-5bb4a8fc-1279-48cf-9fee-c9171d834f5b.jpg
everyday_shoes	India 11	170	480x480-b79df910-b4ab-4b61-97fd-e61e960be3e7	https://static.dollarstreet.org/media/India 11/image/b79df910-b4ab-4b61-97fd-e61e960be3e7/480x480-b79df910-b4ab-4b61-97fd-e61e960be3e7.jpg
everyday_shoes	China 1	578	480x480-a692712d-ba8e-49c0-8ff4-b6b9356127db	https://static.dollarstreet.org/media/China 1/image/a692712d-ba8e-49c0-8ff4-b6b9356127db/480x480-a692712d-ba8e-49c0-8ff4-b6b9356127db.jpg
everyday_shoes	Mexico 1	6342	480x480-6549cb24-1d10-4f1d-805d-d14ecbeaaaa2	https://static.dollarstreet.org/media/Mexico 1/image/6549cb24-1d10-4f1d-805d-d14ecbeaaaa2/480x480-6549cb24-1d10-4f1d-805d-d14ecbeaaaa2.jpg
everyday_shoes	Zimbabwe 4	34	480x480-0d958d67-ca28-47eb-944a-fe1f2b5027d9	https://static.dollarstreet.org/media/Zimbabwe 4/image/0d958d67-ca28-47eb-944a-fe1f2b5027d9/480x480-0d958d67-ca28-47eb-944a-fe1f2b5027d9.jpg
everyday_shoes	Colombia 2	163	480x480-26a4a611-4729-4f89-9d96-833afc993b9b	https://static.dollarstreet.org/media/Colombia 2/image/26a4a611-4729-4f89-9d96-833afc993b9b/480x480-26a4a611-4729-4f89-9d96-833afc993b9b.jpg
