category	country	value	filename	url
floors	Burundi 3	27	480x480-928737cf-e6c3-412d-9bbd-a949fa7e75d0	https://static.dollarstreet.org/media/Burundi 3/image/928737cf-e6c3-412d-9bbd-a949fa7e75d0/480x480-928737cf-e6c3-412d-9bbd-a949fa7e75d0.jpg
floors	Tunisia 1	176	480x480-cf4197ec-9399-43e9-906e-c24a71d5e093	https://static.dollarstreet.org/media/Tunisia 1/image/cf4197ec-9399-43e9-906e-c24a71d5e093/480x480-cf4197ec-9399-43e9-906e-c24a71d5e093.jpg
floors	Palestine 2	624	480x480-04af1c47-532e-4b63-8512-4aa4ef9c0bef	https://static.dollarstreet.org/media/Palestine 2/image/04af1c47-532e-4b63-8512-4aa4ef9c0bef/480x480-04af1c47-532e-4b63-8512-4aa4ef9c0bef.jpg
floors	China 18	10098	480x480-0b1625bb-3ffa-4c95-bae8-88243487802a	https://static.dollarstreet.org/media/China 18/image/0b1625bb-3ffa-4c95-bae8-88243487802a/480x480-0b1625bb-3ffa-4c95-bae8-88243487802a.jpg
floors	India 12	29	480x480-1fae0abd-f383-4df8-a4f0-c375be4fbe06	https://static.dollarstreet.org/media/India 12/image/1fae0abd-f383-4df8-a4f0-c375be4fbe06/480x480-1fae0abd-f383-4df8-a4f0-c375be4fbe06.jpg
floors	Bangladesh 10	175	480x480-77f49c52-0ff4-4e5f-8e54-e6f9507f8f10	https://static.dollarstreet.org/media/Bangladesh 10/image/77f49c52-0ff4-4e5f-8e54-e6f9507f8f10/480x480-77f49c52-0ff4-4e5f-8e54-e6f9507f8f10.jpg
floors	USA 7	604	480x480-315a7d02-3a0c-465b-ab16-e8ee08439da8	https://static.dollarstreet.org/media/USA 7/image/315a7d02-3a0c-465b-ab16-e8ee08439da8/480x480-315a7d02-3a0c-465b-ab16-e8ee08439da8.jpg
floors	Ukraine 2	10090	480x480-7e7a5cbb-61f5-4432-a279-4271e89fc153	https://static.dollarstreet.org/media/Ukraine 2/image/7e7a5cbb-61f5-4432-a279-4271e89fc153/480x480-7e7a5cbb-61f5-4432-a279-4271e89fc153.jpg
floors	Malawi 6	30	480x480-49e26e12-7306-47f1-9194-6bbf5c1d56da	https://static.dollarstreet.org/media/Malawi 6/image/49e26e12-7306-47f1-9194-6bbf5c1d56da/480x480-49e26e12-7306-47f1-9194-6bbf5c1d56da.jpg
floors	Bolivia 3	180	480x480-7ccd7a22-bb5c-4f38-a864-ad3f2b2b7a31	https://static.dollarstreet.org/media/Bolivia 3/image/7ccd7a22-bb5c-4f38-a864-ad3f2b2b7a31/480x480-7ccd7a22-bb5c-4f38-a864-ad3f2b2b7a31.jpg
