category	country	value	filename	url
front_doors	Burundi 3	27	480x480-58bc4404-b52b-4358-871f-7163fb64d5b9	https://static.dollarstreet.org/media/Burundi 3/image/58bc4404-b52b-4358-871f-7163fb64d5b9/480x480-58bc4404-b52b-4358-871f-7163fb64d5b9.jpg
front_doors	Thailand 3	179	480x480-4b915dcc-d0c5-4536-8674-91bffd932574	https://static.dollarstreet.org/media/Thailand 3/image/4b915dcc-d0c5-4536-8674-91bffd932574/480x480-4b915dcc-d0c5-4536-8674-91bffd932574.jpg
front_doors	Myanmar 1	591	480x480-04d9cf86-f1e4-4bc6-84b1-6fa5d5ad6fc4	https://static.dollarstreet.org/media/Myanmar 1/image/04d9cf86-f1e4-4bc6-84b1-6fa5d5ad6fc4/480x480-04d9cf86-f1e4-4bc6-84b1-6fa5d5ad6fc4.jpg
front_doors	China 18	10098	480x480-941bf7f5-a4b5-4efe-928f-2098b327d8f1	https://static.dollarstreet.org/media/China 18/image/941bf7f5-a4b5-4efe-928f-2098b327d8f1/480x480-941bf7f5-a4b5-4efe-928f-2098b327d8f1.jpg
front_doors	India 12	29	480x480-71ad946c-ad27-44f9-8bb7-b774f35442ca	https://static.dollarstreet.org/media/India 12/image/71ad946c-ad27-44f9-8bb7-b774f35442ca/480x480-71ad946c-ad27-44f9-8bb7-b774f35442ca.jpg
front_doors	Tunisia 1	176	480x480-289ea14f-15a6-4152-9487-a3bb8aafc567	https://static.dollarstreet.org/media/Tunisia 1/image/289ea14f-15a6-4152-9487-a3bb8aafc567/480x480-289ea14f-15a6-4152-9487-a3bb8aafc567.jpg
front_doors	USA 7	604	480x480-6289808a-0084-4415-8b29-d0ef392a1045	https://static.dollarstreet.org/media/USA 7/image/6289808a-0084-4415-8b29-d0ef392a1045/480x480-6289808a-0084-4415-8b29-d0ef392a1045.jpg
front_doors	Ukraine 2	10090	480x480-6cea90ab-19af-413e-a341-2c097b0830ad	https://static.dollarstreet.org/media/Ukraine 2/image/6cea90ab-19af-413e-a341-2c097b0830ad/480x480-6cea90ab-19af-413e-a341-2c097b0830ad.jpg
front_doors	Malawi 6	30	480x480-85f85f22-bcc0-4498-8cd9-f9b3e5cc9ca3	https://static.dollarstreet.org/media/Malawi 6/image/85f85f22-bcc0-4498-8cd9-f9b3e5cc9ca3/480x480-85f85f22-bcc0-4498-8cd9-f9b3e5cc9ca3.jpg
front_doors	Bolivia 3	180	480x480-2f4f000a-850f-413e-b85a-a88eb909bdef	https://static.dollarstreet.org/media/Bolivia 3/image/2f4f000a-850f-413e-b85a-a88eb909bdef/480x480-2f4f000a-850f-413e-b85a-a88eb909bdef.jpg
front_doors	Russia 1	578	480x480-cb9c275f-a2c6-48e6-8a8c-4742b2c699aa	https://static.dollarstreet.org/media/Russia 1/image/cb9c275f-a2c6-48e6-8a8c-4742b2c699aa/480x480-cb9c275f-a2c6-48e6-8a8c-4742b2c699aa.jpg
front_doors	Jordan 4	7433	480x480-a0be87e4-920b-4cea-b5c2-b0dd92aa35d4	https://static.dollarstreet.org/media/Jordan 4/image/a0be87e4-920b-4cea-b5c2-b0dd92aa35d4/480x480-a0be87e4-920b-4cea-b5c2-b0dd92aa35d4.jpg
front_doors	India 10	31	480x480-b9938985-ea7a-4be5-b4f9-dbffc49f371d	https://static.dollarstreet.org/media/India 10/image/b9938985-ea7a-4be5-b4f9-dbffc49f371d/480x480-b9938985-ea7a-4be5-b4f9-dbffc49f371d.jpg
front_doors	Bangladesh 10	175	480x480-d0cd5787-9b49-4215-acd4-0d6946acd0c3	https://static.dollarstreet.org/media/Bangladesh 10/image/d0cd5787-9b49-4215-acd4-0d6946acd0c3/480x480-d0cd5787-9b49-4215-acd4-0d6946acd0c3.jpg
front_doors	Palestine 2	624	480x480-53fc5b55-e0bc-44be-b606-f3a2b256b9aa	https://static.dollarstreet.org/media/Palestine 2/image/53fc5b55-e0bc-44be-b606-f3a2b256b9aa/480x480-53fc5b55-e0bc-44be-b606-f3a2b256b9aa.jpg
front_doors	Mexico 1	6342	480x480-3d27926d-1e17-4f84-b0f1-d9834900bb93	https://static.dollarstreet.org/media/Mexico 1/image/3d27926d-1e17-4f84-b0f1-d9834900bb93/480x480-3d27926d-1e17-4f84-b0f1-d9834900bb93.jpg
front_doors	Zimbabwe 4	34	480x480-8cf3ad7d-d022-4674-98ec-87d630a6663e	https://static.dollarstreet.org/media/Zimbabwe 4/image/8cf3ad7d-d022-4674-98ec-87d630a6663e/480x480-8cf3ad7d-d022-4674-98ec-87d630a6663e.jpg
front_doors	Cameroon 1	174	480x480-07874f8e-9b28-49c1-9992-4bf745c819b7	https://static.dollarstreet.org/media/Cameroon 1/image/07874f8e-9b28-49c1-9992-4bf745c819b7/480x480-07874f8e-9b28-49c1-9992-4bf745c819b7.jpg
front_doors	Bulgaria 1	654	480x480-1dc39a0d-bfb9-4460-a74d-ae050718d283	https://static.dollarstreet.org/media/Bulgaria 1/image/1dc39a0d-bfb9-4460-a74d-ae050718d283/480x480-1dc39a0d-bfb9-4460-a74d-ae050718d283.jpg
front_doors	Sweden 6	4883	480x480-d8fd04d8-d9e0-441a-82af-190718b5ef54	https://static.dollarstreet.org/media/Sweden 6/image/d8fd04d8-d9e0-441a-82af-190718b5ef54/480x480-d8fd04d8-d9e0-441a-82af-190718b5ef54.jpg
front_doors	Haiti 3	39	480x480-ac392824-458c-475f-a425-3381ca26bcef	https://static.dollarstreet.org/media/Haiti 3/image/ac392824-458c-475f-a425-3381ca26bcef/480x480-ac392824-458c-475f-a425-3381ca26bcef.jpg
front_doors	Cambodia 9	195	480x480-e5639a09-a5d2-4c3a-bbb6-2aead2dca9fd	https://static.dollarstreet.org/media/Cambodia 9/image/e5639a09-a5d2-4c3a-bbb6-2aead2dca9fd/480x480-e5639a09-a5d2-4c3a-bbb6-2aead2dca9fd.jpg
front_doors	China 23	575	480x480-103912f6-3876-4b41-84a2-f83fc3e7445b	https://static.dollarstreet.org/media/China 23/image/103912f6-3876-4b41-84a2-f83fc3e7445b/480x480-103912f6-3876-4b41-84a2-f83fc3e7445b.jpg
front_doors	China 26	4734	480x480-d30686d3-a8da-4a65-9714-87f596cf4360	https://static.dollarstreet.org/media/China 26/image/d30686d3-a8da-4a65-9714-87f596cf4360/480x480-d30686d3-a8da-4a65-9714-87f596cf4360.jpg
front_doors	Burundi 1	40	480x480-df1316f9-9964-4026-9082-d60484d9955d	https://static.dollarstreet.org/media/Burundi 1/image/df1316f9-9964-4026-9082-d60484d9955d/480x480-df1316f9-9964-4026-9082-d60484d9955d.jpg
front_doors	Colombia 2	163	480x480-0c870601-9599-41ea-9792-5a4fdd291e56	https://static.dollarstreet.org/media/Colombia 2/image/0c870601-9599-41ea-9792-5a4fdd291e56/480x480-0c870601-9599-41ea-9792-5a4fdd291e56.jpg
front_doors	Ukraine 1	694	480x480-e787eb0b-71b4-4f14-9c03-e65260d026e7	https://static.dollarstreet.org/media/Ukraine 1/image/e787eb0b-71b4-4f14-9c03-e65260d026e7/480x480-e787eb0b-71b4-4f14-9c03-e65260d026e7.jpg
front_doors	USA 6	4650	480x480-949f96eb-f88d-441d-9738-fafc1008f50d	https://static.dollarstreet.org/media/USA 6/image/949f96eb-f88d-441d-9738-fafc1008f50d/480x480-949f96eb-f88d-441d-9738-fafc1008f50d.jpg
front_doors	Haiti 4	43	480x480-6597dd85-c8d2-40bd-afc9-2157397d046d	https://static.dollarstreet.org/media/Haiti 4/image/6597dd85-c8d2-40bd-afc9-2157397d046d/480x480-6597dd85-c8d2-40bd-afc9-2157397d046d.jpg
front_doors	Tunisia 2	209	480x480-1a563dfe-85c7-47a5-b97a-91a2b9d9845a	https://static.dollarstreet.org/media/Tunisia 2/image/1a563dfe-85c7-47a5-b97a-91a2b9d9845a/480x480-1a563dfe-85c7-47a5-b97a-91a2b9d9845a.jpg
front_doors	India 17	526	480x480-14fc1b66-18b4-4e3d-8a90-3bd6eb597a46	https://static.dollarstreet.org/media/India 17/image/14fc1b66-18b4-4e3d-8a90-3bd6eb597a46/480x480-14fc1b66-18b4-4e3d-8a90-3bd6eb597a46.jpg
front_doors	China 15	4609	480x480-5df4f344-194a-4079-a5f5-fbc2d3b85e3f	https://static.dollarstreet.org/media/China 15/image/5df4f344-194a-4079-a5f5-fbc2d3b85e3f/480x480-5df4f344-194a-4079-a5f5-fbc2d3b85e3f.jpg
front_doors	Burkina Faso 6	45	480x480-53e2efb7-fd2e-4d23-a1a9-9c5959b5e813	https://static.dollarstreet.org/media/Burkina Faso 6/image/53e2efb7-fd2e-4d23-a1a9-9c5959b5e813/480x480-53e2efb7-fd2e-4d23-a1a9-9c5959b5e813.jpg
front_doors	Romania 3	163	480x480-9c01e3ba-08f4-446d-b098-e22758f5460d	https://static.dollarstreet.org/media/Romania 3/image/9c01e3ba-08f4-446d-b098-e22758f5460d/480x480-9c01e3ba-08f4-446d-b098-e22758f5460d.jpg
front_doors	Turkey 1	505	480x480-93043c43-812f-4473-a205-68b0436e2cd6	https://static.dollarstreet.org/media/Turkey 1/image/93043c43-812f-4473-a205-68b0436e2cd6/480x480-93043c43-812f-4473-a205-68b0436e2cd6.jpg
front_doors	USA 12	4446	480x480-2ccf5cfe-66c6-48ed-a518-2941636d344a	https://static.dollarstreet.org/media/USA 12/image/2ccf5cfe-66c6-48ed-a518-2941636d344a/480x480-2ccf5cfe-66c6-48ed-a518-2941636d344a.jpg
front_doors	Myanmar 3	45	480x480-9391b622-e4c2-4164-a2c1-7cc862b9ebb6	https://static.dollarstreet.org/media/Myanmar 3/image/9391b622-e4c2-4164-a2c1-7cc862b9ebb6/480x480-9391b622-e4c2-4164-a2c1-7cc862b9ebb6.jpg
front_doors	Indonesia 4	210	480x480-ffae79c2-de84-4bb8-8541-519cdbb889c4	https://static.dollarstreet.org/media/Indonesia 4/image/ffae79c2-de84-4bb8-8541-519cdbb889c4/480x480-ffae79c2-de84-4bb8-8541-519cdbb889c4.jpg
front_doors	Korea, Rep. 2	700	480x480-f525ba0e-6794-416b-a8e3-3b499e33f6b6	https://static.dollarstreet.org/media/Korea, Rep. 2/image/f525ba0e-6794-416b-a8e3-3b499e33f6b6/480x480-f525ba0e-6794-416b-a8e3-3b499e33f6b6.jpg
front_doors	Nepal 5	3829	480x480-e76abafb-95fc-4ca6-8549-26cbd4fdf1f7	https://static.dollarstreet.org/media/Nepal 5/image/e76abafb-95fc-4ca6-8549-26cbd4fdf1f7/480x480-e76abafb-95fc-4ca6-8549-26cbd4fdf1f7.jpg
front_doors	Malawi 3	46	480x480-81698b81-35c2-4e10-b5fb-4d1e8a606f93	https://static.dollarstreet.org/media/Malawi 3/image/81698b81-35c2-4e10-b5fb-4d1e8a606f93/480x480-81698b81-35c2-4e10-b5fb-4d1e8a606f93.jpg
front_doors	South Africa 1	148	480x480-c241ecb8-f70c-422a-bbcd-e5b27cf7135c	https://static.dollarstreet.org/media/South Africa 1/image/c241ecb8-f70c-422a-bbcd-e5b27cf7135c/480x480-c241ecb8-f70c-422a-bbcd-e5b27cf7135c.jpg
front_doors	Romania 2	722	480x480-a1e0b8e2-26ef-4707-b2d1-987c69b47e49	https://static.dollarstreet.org/media/Romania 2/image/a1e0b8e2-26ef-4707-b2d1-987c69b47e49/480x480-a1e0b8e2-26ef-4707-b2d1-987c69b47e49.jpg
front_doors	France 1	3764	480x480-9f83901e-41b3-4b17-8e3b-3b1181a823df	https://static.dollarstreet.org/media/France 1/image/9f83901e-41b3-4b17-8e3b-3b1181a823df/480x480-9f83901e-41b3-4b17-8e3b-3b1181a823df.jpg
