category	country	value	filename	url
homes	Burundi 3	27	480x480-830877d2-675c-41e0-81e3-4e02aed54b43	https://static.dollarstreet.org/media/Burundi 3/image/830877d2-675c-41e0-81e3-4e02aed54b43/480x480-830877d2-675c-41e0-81e3-4e02aed54b43.jpg
homes	Tunisia 1	176	480x480-9ec05a92-80bb-4760-a894-9528f86595aa	https://static.dollarstreet.org/media/Tunisia 1/image/9ec05a92-80bb-4760-a894-9528f86595aa/480x480-9ec05a92-80bb-4760-a894-9528f86595aa.jpg
homes	Jordan 2	583	480x480-76050982-517d-4c77-8d39-0da97adf3adf	https://static.dollarstreet.org/media/Jordan 2/image/76050982-517d-4c77-8d39-0da97adf3adf/480x480-76050982-517d-4c77-8d39-0da97adf3adf.jpg
homes	China 18	10098	480x480-4661dff9-4222-4dd7-b123-f6f34645d285	https://static.dollarstreet.org/media/China 18/image/4661dff9-4222-4dd7-b123-f6f34645d285/480x480-4661dff9-4222-4dd7-b123-f6f34645d285.jpg
homes	India 12	29	480x480-6b6fe992-059e-4124-9b27-74883713296a	https://static.dollarstreet.org/media/India 12/image/6b6fe992-059e-4124-9b27-74883713296a/480x480-6b6fe992-059e-4124-9b27-74883713296a.jpg
homes	Bangladesh 10	175	480x480-cc4b2d50-5d87-466a-8d1b-ecf83c7b4829	https://static.dollarstreet.org/media/Bangladesh 10/image/cc4b2d50-5d87-466a-8d1b-ecf83c7b4829/480x480-cc4b2d50-5d87-466a-8d1b-ecf83c7b4829.jpg
homes	Russia 1	578	480x480-4f91a87a-8e73-4c0b-b697-df913b02166c	https://static.dollarstreet.org/media/Russia 1/image/4f91a87a-8e73-4c0b-b697-df913b02166c/480x480-4f91a87a-8e73-4c0b-b697-df913b02166c.jpg
homes	Ukraine 2	10090	480x480-0f1e7c2e-fa12-4e29-999d-5a0b8fe2f6ad	https://static.dollarstreet.org/media/Ukraine 2/image/0f1e7c2e-fa12-4e29-999d-5a0b8fe2f6ad/480x480-0f1e7c2e-fa12-4e29-999d-5a0b8fe2f6ad.jpg
homes	Malawi 6	30	480x480-cd04de58-bfbd-4c57-80ce-a48163a7894b	https://static.dollarstreet.org/media/Malawi 6/image/cd04de58-bfbd-4c57-80ce-a48163a7894b/480x480-cd04de58-bfbd-4c57-80ce-a48163a7894b.jpg
homes	Cameroon 1	174	480x480-4b4f6cea-effa-447f-9bf3-c95bc278d92a	https://static.dollarstreet.org/media/Cameroon 1/image/4b4f6cea-effa-447f-9bf3-c95bc278d92a/480x480-4b4f6cea-effa-447f-9bf3-c95bc278d92a.jpg
homes	Myanmar 1	591	480x480-756cbec4-ab6e-4afe-9191-31bbc10cbf39	https://static.dollarstreet.org/media/Myanmar 1/image/756cbec4-ab6e-4afe-9191-31bbc10cbf39/480x480-756cbec4-ab6e-4afe-9191-31bbc10cbf39.jpg
homes	Jordan 4	7433	480x480-0c4b4500-13cd-4462-bb5b-7ff99362b80b	https://static.dollarstreet.org/media/Jordan 4/image/0c4b4500-13cd-4462-bb5b-7ff99362b80b/480x480-0c4b4500-13cd-4462-bb5b-7ff99362b80b.jpg
homes	India 10	31	480x480-438c7fb0-3633-47c1-9f94-14e4299457a9	https://static.dollarstreet.org/media/India 10/image/438c7fb0-3633-47c1-9f94-14e4299457a9/480x480-438c7fb0-3633-47c1-9f94-14e4299457a9.jpg
homes	Bolivia 3	180	480x480-930b4dd1-1e79-4600-8adc-d0375200eae7	https://static.dollarstreet.org/media/Bolivia 3/image/930b4dd1-1e79-4600-8adc-d0375200eae7/480x480-930b4dd1-1e79-4600-8adc-d0375200eae7.jpg
homes	USA 7	604	480x480-a0dc6308-65d8-4262-a14d-ba0f5bfb3818	https://static.dollarstreet.org/media/USA 7/image/a0dc6308-65d8-4262-a14d-ba0f5bfb3818/480x480-a0dc6308-65d8-4262-a14d-ba0f5bfb3818.jpg
homes	Mexico 1	6342	480x480-1a2c3c58-b728-4594-af3b-e0524dc811ac	https://static.dollarstreet.org/media/Mexico 1/image/1a2c3c58-b728-4594-af3b-e0524dc811ac/480x480-1a2c3c58-b728-4594-af3b-e0524dc811ac.jpg
homes	Zimbabwe 4	34	480x480-e71c16be-b26f-48bf-aaa4-023c612a9574	https://static.dollarstreet.org/media/Zimbabwe 4/image/e71c16be-b26f-48bf-aaa4-023c612a9574/480x480-e71c16be-b26f-48bf-aaa4-023c612a9574.jpg
homes	Philippines 7	170	480x480-2e953e66-d4a5-4d53-a68f-1d29fbe6f45c	https://static.dollarstreet.org/media/Philippines 7/image/2e953e66-d4a5-4d53-a68f-1d29fbe6f45c/480x480-2e953e66-d4a5-4d53-a68f-1d29fbe6f45c.jpg
homes	China 23	575	480x480-73df5a39-003e-45e4-ae24-40ec5d606e0a	https://static.dollarstreet.org/media/China 23/image/73df5a39-003e-45e4-ae24-40ec5d606e0a/480x480-73df5a39-003e-45e4-ae24-40ec5d606e0a.jpg
homes	Sweden 6	4883	480x480-502c3853-5b74-43f8-a128-53901c9a314f	https://static.dollarstreet.org/media/Sweden 6/image/502c3853-5b74-43f8-a128-53901c9a314f/480x480-502c3853-5b74-43f8-a128-53901c9a314f.jpg
homes	Haiti 3	39	480x480-9d53117a-1707-4313-8e4f-1aba9843c49e	https://static.dollarstreet.org/media/Haiti 3/image/9d53117a-1707-4313-8e4f-1aba9843c49e/480x480-9d53117a-1707-4313-8e4f-1aba9843c49e.jpg
homes	Colombia 2	163	480x480-2d53cb20-1ca8-40f8-8d7e-ad814fd86f1e	https://static.dollarstreet.org/media/Colombia 2/image/2d53cb20-1ca8-40f8-8d7e-ad814fd86f1e/480x480-2d53cb20-1ca8-40f8-8d7e-ad814fd86f1e.jpg
homes	Bulgaria 1	654	480x480-bc9f5d0b-0381-4131-b018-2381d1f2f0d7	https://static.dollarstreet.org/media/Bulgaria 1/image/bc9f5d0b-0381-4131-b018-2381d1f2f0d7/480x480-bc9f5d0b-0381-4131-b018-2381d1f2f0d7.jpg
homes	China 26	4734	480x480-df255bc4-9c0b-4b68-9123-119637885a7b	https://static.dollarstreet.org/media/China 26/image/df255bc4-9c0b-4b68-9123-119637885a7b/480x480-df255bc4-9c0b-4b68-9123-119637885a7b.jpg
homes	Burundi 1	40	480x480-b9f89f64-b8cf-4625-863e-445148b0fcac	https://static.dollarstreet.org/media/Burundi 1/image/b9f89f64-b8cf-4625-863e-445148b0fcac/480x480-b9f89f64-b8cf-4625-863e-445148b0fcac.jpg
homes	Philippines 4	195	480x480-99efcf99-c441-4284-98f8-34f23141364f	https://static.dollarstreet.org/media/Philippines 4/image/99efcf99-c441-4284-98f8-34f23141364f/480x480-99efcf99-c441-4284-98f8-34f23141364f.jpg
homes	India 17	526	480x480-6c364b53-0d77-4d59-8e1e-87a62d954921	https://static.dollarstreet.org/media/India 17/image/6c364b53-0d77-4d59-8e1e-87a62d954921/480x480-6c364b53-0d77-4d59-8e1e-87a62d954921.jpg
homes	USA 6	4650	480x480-396095b1-0c1f-4b24-a8fa-c04b2b86e0e7	https://static.dollarstreet.org/media/USA 6/image/396095b1-0c1f-4b24-a8fa-c04b2b86e0e7/480x480-396095b1-0c1f-4b24-a8fa-c04b2b86e0e7.jpg
homes	Haiti 4	43	480x480-6d2ec8bd-c5f6-41c8-b129-4b734d40022d	https://static.dollarstreet.org/media/Haiti 4/image/6d2ec8bd-c5f6-41c8-b129-4b734d40022d/480x480-6d2ec8bd-c5f6-41c8-b129-4b734d40022d.jpg
homes	Romania 3	163	480x480-109ce8eb-b032-47ee-b922-c80ff93594b9	https://static.dollarstreet.org/media/Romania 3/image/109ce8eb-b032-47ee-b922-c80ff93594b9/480x480-109ce8eb-b032-47ee-b922-c80ff93594b9.jpg
homes	Turkey 1	505	480x480-fc1b6f97-bb90-44e5-aa56-9497beb008ea	https://static.dollarstreet.org/media/Turkey 1/image/fc1b6f97-bb90-44e5-aa56-9497beb008ea/480x480-fc1b6f97-bb90-44e5-aa56-9497beb008ea.jpg
homes	China 15	4609	480x480-b7683018-9538-40e2-8924-8773f675bd95	https://static.dollarstreet.org/media/China 15/image/b7683018-9538-40e2-8924-8773f675bd95/480x480-b7683018-9538-40e2-8924-8773f675bd95.jpg
homes	Burkina Faso 6	45	480x480-40640ad8-1137-45b4-acba-e5835cd5152f	https://static.dollarstreet.org/media/Burkina Faso 6/image/40640ad8-1137-45b4-acba-e5835cd5152f/480x480-40640ad8-1137-45b4-acba-e5835cd5152f.jpg
homes	Nepal 3	201	480x480-e491dc31-5c8a-45eb-8892-8c4654f36a49	https://static.dollarstreet.org/media/Nepal 3/image/e491dc31-5c8a-45eb-8892-8c4654f36a49/480x480-e491dc31-5c8a-45eb-8892-8c4654f36a49.jpg
homes	India 22	504	480x480-c5c2670d-2a66-4d55-ad2b-10e770a08de0	https://static.dollarstreet.org/media/India 22/image/c5c2670d-2a66-4d55-ad2b-10e770a08de0/480x480-c5c2670d-2a66-4d55-ad2b-10e770a08de0.jpg
homes	USA 12	4446	480x480-bbc605a1-11af-4c1c-b4ab-2ab4dd39a978	https://static.dollarstreet.org/media/USA 12/image/bbc605a1-11af-4c1c-b4ab-2ab4dd39a978/480x480-bbc605a1-11af-4c1c-b4ab-2ab4dd39a978.jpg
homes	Myanmar 3	45	480x480-002604a5-8945-45e9-a06a-45730e6bec1e	https://static.dollarstreet.org/media/Myanmar 3/image/002604a5-8945-45e9-a06a-45730e6bec1e/480x480-002604a5-8945-45e9-a06a-45730e6bec1e.jpg
