category	country	value	filename	url
kids_beds	Burundi 3	27	480x480-28846463-620e-41b7-a4ac-0d4e959ff6b5	https://static.dollarstreet.org/media/Burundi 3/image/28846463-620e-41b7-a4ac-0d4e959ff6b5/480x480-28846463-620e-41b7-a4ac-0d4e959ff6b5.jpg
kids_beds	Indonesia 10	152	480x480-2d46521f-0b46-4805-b336-7c3d88365358	https://static.dollarstreet.org/media/Indonesia 10/image/2d46521f-0b46-4805-b336-7c3d88365358/480x480-2d46521f-0b46-4805-b336-7c3d88365358.jpg
kids_beds	Cambodia 6	463	480x480-b46325e0-1c00-4367-9467-c946385e4c4a	https://static.dollarstreet.org/media/Cambodia 6/image/b46325e0-1c00-4367-9467-c946385e4c4a/480x480-b46325e0-1c00-4367-9467-c946385e4c4a.jpg
kids_beds	China 18	10098	480x480-706d5d8a-6b91-43cc-931a-a6019302949b	https://static.dollarstreet.org/media/China 18/image/706d5d8a-6b91-43cc-931a-a6019302949b/480x480-706d5d8a-6b91-43cc-931a-a6019302949b.jpg
kids_beds	India 12	29	480x480-ca80ba51-ddd8-4081-8b0b-4ac1fee7681b	https://static.dollarstreet.org/media/India 12/image/ca80ba51-ddd8-4081-8b0b-4ac1fee7681b/480x480-ca80ba51-ddd8-4081-8b0b-4ac1fee7681b.jpg
kids_beds	South Africa 1	148	480x480-eccc0294-957d-47de-8f99-d3460ea48878	https://static.dollarstreet.org/media/South Africa 1/image/eccc0294-957d-47de-8f99-d3460ea48878/480x480-eccc0294-957d-47de-8f99-d3460ea48878.jpg
kids_beds	Rwanda 1	460	480x480-093058d6-6ed2-4877-abd2-5b7f7d10f0e2	https://static.dollarstreet.org/media/Rwanda 1/image/093058d6-6ed2-4877-abd2-5b7f7d10f0e2/480x480-093058d6-6ed2-4877-abd2-5b7f7d10f0e2.jpg
kids_beds	Ukraine 2	10090	480x480-8dd72f40-733d-4acd-b4b1-675a3d6bb33c	https://static.dollarstreet.org/media/Ukraine 2/image/8dd72f40-733d-4acd-b4b1-675a3d6bb33c/480x480-8dd72f40-733d-4acd-b4b1-675a3d6bb33c.jpg
kids_beds	Malawi 6	30	480x480-d7862f5e-27fa-4f6f-a93a-088aedf7d0dc	https://static.dollarstreet.org/media/Malawi 6/image/d7862f5e-27fa-4f6f-a93a-088aedf7d0dc/480x480-d7862f5e-27fa-4f6f-a93a-088aedf7d0dc.jpg
kids_beds	Romania 3	163	480x480-0ad5e8fe-bf77-4e3e-8405-25c4b1c6f876	https://static.dollarstreet.org/media/Romania 3/image/0ad5e8fe-bf77-4e3e-8405-25c4b1c6f876/480x480-0ad5e8fe-bf77-4e3e-8405-25c4b1c6f876.jpg
kids_beds	Ukraine 3	476	480x480-224807fd-efe9-48d2-b84b-57f81f663685	https://static.dollarstreet.org/media/Ukraine 3/image/224807fd-efe9-48d2-b84b-57f81f663685/480x480-224807fd-efe9-48d2-b84b-57f81f663685.jpg
kids_beds	Jordan 4	7433	480x480-20092d70-c66f-4233-9c3d-b9acae85298b	https://static.dollarstreet.org/media/Jordan 4/image/20092d70-c66f-4233-9c3d-b9acae85298b/480x480-20092d70-c66f-4233-9c3d-b9acae85298b.jpg
kids_beds	India 10	31	480x480-e708d982-6353-4b20-9530-b6536746466c	https://static.dollarstreet.org/media/India 10/image/e708d982-6353-4b20-9530-b6536746466c/480x480-e708d982-6353-4b20-9530-b6536746466c.jpg
kids_beds	Nepal 1	146	480x480-38a3c890-d922-4ebf-9fee-d9d81f3dadce	https://static.dollarstreet.org/media/Nepal 1/image/38a3c890-d922-4ebf-9fee-d9d81f3dadce/480x480-38a3c890-d922-4ebf-9fee-d9d81f3dadce.jpg
kids_beds	Indonesia 6	459	480x480-af1b2db0-53da-4792-b837-8f0f91836316	https://static.dollarstreet.org/media/Indonesia 6/image/af1b2db0-53da-4792-b837-8f0f91836316/480x480-af1b2db0-53da-4792-b837-8f0f91836316.jpg
kids_beds	USA 6	4650	480x480-d1a93cef-1167-4d7e-9e99-97e6663ed67f	https://static.dollarstreet.org/media/USA 6/image/d1a93cef-1167-4d7e-9e99-97e6663ed67f/480x480-d1a93cef-1167-4d7e-9e99-97e6663ed67f.jpg
kids_beds	Zimbabwe 4	34	480x480-e6f40056-7630-4557-8b0a-7f69a84a968d	https://static.dollarstreet.org/media/Zimbabwe 4/image/e6f40056-7630-4557-8b0a-7f69a84a968d/480x480-e6f40056-7630-4557-8b0a-7f69a84a968d.jpg
kids_beds	Colombia 2	163	480x480-3eec2ae7-3415-40f0-9837-d3b168fdda4f	https://static.dollarstreet.org/media/Colombia 2/image/3eec2ae7-3415-40f0-9837-d3b168fdda4f/480x480-3eec2ae7-3415-40f0-9837-d3b168fdda4f.jpg
kids_beds	Latvia 4	480	480x480-b17bd14f-18f0-4a1a-b863-02a7e86d3f5d	https://static.dollarstreet.org/media/Latvia 4/image/b17bd14f-18f0-4a1a-b863-02a7e86d3f5d/480x480-b17bd14f-18f0-4a1a-b863-02a7e86d3f5d.jpg
kids_beds	China 15	4609	480x480-dcd762a1-e84b-4916-9eaf-f150852e3684	https://static.dollarstreet.org/media/China 15/image/dcd762a1-e84b-4916-9eaf-f150852e3684/480x480-dcd762a1-e84b-4916-9eaf-f150852e3684.jpg
