category	country	value	filename	url
kitchen_sinks	Burundi 3	27	480x480-f7ba5651-f626-45c8-a93c-2fc4e5b6797d	https://static.dollarstreet.org/media/Burundi 3/image/f7ba5651-f626-45c8-a93c-2fc4e5b6797d/480x480-f7ba5651-f626-45c8-a93c-2fc4e5b6797d.jpg
kitchen_sinks	Indonesia 4	210	480x480-ad144e3f-44f4-4d97-9c67-6b7aecfe20c4	https://static.dollarstreet.org/media/Indonesia 4/image/ad144e3f-44f4-4d97-9c67-6b7aecfe20c4/480x480-ad144e3f-44f4-4d97-9c67-6b7aecfe20c4.jpg
kitchen_sinks	Korea, Rep. 4	660	480x480-5b61ba08-004b-40bd-abf9-469fb1db17c8	https://static.dollarstreet.org/media/Korea, Rep. 4/image/5b61ba08-004b-40bd-abf9-469fb1db17c8/480x480-5b61ba08-004b-40bd-abf9-469fb1db17c8.jpg
kitchen_sinks	China 18	10098	480x480-8c28f1b4-f8f0-46e7-972c-d8a7a8f9e28e	https://static.dollarstreet.org/media/China 18/image/8c28f1b4-f8f0-46e7-972c-d8a7a8f9e28e/480x480-8c28f1b4-f8f0-46e7-972c-d8a7a8f9e28e.jpg
kitchen_sinks	India 12	29	480x480-0e695e3e-8372-477a-be22-784fc6ba44ff	https://static.dollarstreet.org/media/India 12/image/0e695e3e-8372-477a-be22-784fc6ba44ff/480x480-0e695e3e-8372-477a-be22-784fc6ba44ff.jpg
kitchen_sinks	Tunisia 2	209	480x480-afc0ebee-e3a9-480c-b2a6-8b24d7decc21	https://static.dollarstreet.org/media/Tunisia 2/image/afc0ebee-e3a9-480c-b2a6-8b24d7decc21/480x480-afc0ebee-e3a9-480c-b2a6-8b24d7decc21.jpg
kitchen_sinks	Bulgaria 1	654	480x480-8920da2a-ca79-424a-a82e-a27690556e92	https://static.dollarstreet.org/media/Bulgaria 1/image/8920da2a-ca79-424a-a82e-a27690556e92/480x480-8920da2a-ca79-424a-a82e-a27690556e92.jpg
kitchen_sinks	Ukraine 2	10090	480x480-dec5b789-19f1-49d8-90b6-65fff6045e80	https://static.dollarstreet.org/media/Ukraine 2/image/dec5b789-19f1-49d8-90b6-65fff6045e80/480x480-dec5b789-19f1-49d8-90b6-65fff6045e80.jpg
kitchen_sinks	Malawi 6	30	480x480-6499bb67-e4df-4adb-a54f-1d657904db10	https://static.dollarstreet.org/media/Malawi 6/image/6499bb67-e4df-4adb-a54f-1d657904db10/480x480-6499bb67-e4df-4adb-a54f-1d657904db10.jpg
kitchen_sinks	Indonesia 7	211	480x480-88b49a8a-f861-4fb6-a9b8-cc847a60571b	https://static.dollarstreet.org/media/Indonesia 7/image/88b49a8a-f861-4fb6-a9b8-cc847a60571b/480x480-88b49a8a-f861-4fb6-a9b8-cc847a60571b.jpg
