category	country	value	filename	url
medication	India 12	29	480x480-38b549b8-658f-443f-812a-8fcef205fcc1	https://static.dollarstreet.org/media/India 12/image/38b549b8-658f-443f-812a-8fcef205fcc1/480x480-38b549b8-658f-443f-812a-8fcef205fcc1.jpg
medication	Vietnam 3	266	480x480-f19b5d7a-7822-4c0c-8a1f-d1eecc480229	https://static.dollarstreet.org/media/Vietnam 3/image/f19b5d7a-7822-4c0c-8a1f-d1eecc480229/480x480-f19b5d7a-7822-4c0c-8a1f-d1eecc480229.jpg
medication	India 5	797	480x480-a479a7c4-555d-4fae-b024-4000bc1c67d3	https://static.dollarstreet.org/media/India 5/image/a479a7c4-555d-4fae-b024-4000bc1c67d3/480x480-a479a7c4-555d-4fae-b024-4000bc1c67d3.jpg
medication	Ukraine 2	10090	480x480-4d1bc97d-8606-43d4-b700-bebc7da42e1b	https://static.dollarstreet.org/media/Ukraine 2/image/4d1bc97d-8606-43d4-b700-bebc7da42e1b/480x480-4d1bc97d-8606-43d4-b700-bebc7da42e1b.jpg
medication	Malawi 6	30	480x480-9913b2b0-62fe-459a-8001-da1b8bcad734	https://static.dollarstreet.org/media/Malawi 6/image/9913b2b0-62fe-459a-8001-da1b8bcad734/480x480-9913b2b0-62fe-459a-8001-da1b8bcad734.jpg
medication	Bolivia 2	254	480x480-3beeb805-ac2b-4626-a0c3-763c5d799a9b	https://static.dollarstreet.org/media/Bolivia 2/image/3beeb805-ac2b-4626-a0c3-763c5d799a9b/480x480-3beeb805-ac2b-4626-a0c3-763c5d799a9b.jpg
medication	USA 8	855	480x480-b6bd1c33-a990-43e1-a785-2c13705e498f	https://static.dollarstreet.org/media/USA 8/image/b6bd1c33-a990-43e1-a785-2c13705e498f/480x480-b6bd1c33-a990-43e1-a785-2c13705e498f.jpg
medication	Jordan 4	7433	480x480-7bb12f4e-7448-4e29-b25b-696dc700ba29	https://static.dollarstreet.org/media/Jordan 4/image/7bb12f4e-7448-4e29-b25b-696dc700ba29/480x480-7bb12f4e-7448-4e29-b25b-696dc700ba29.jpg
medication	India 10	31	480x480-a9220e00-90aa-4b1b-9d08-403f9c38c6e8	https://static.dollarstreet.org/media/India 10/image/a9220e00-90aa-4b1b-9d08-403f9c38c6e8/480x480-a9220e00-90aa-4b1b-9d08-403f9c38c6e8.jpg
medication	Cambodia 1	295	480x480-30406abe-f401-4a11-8931-12cc3f5064e3	https://static.dollarstreet.org/media/Cambodia 1/image/30406abe-f401-4a11-8931-12cc3f5064e3/480x480-30406abe-f401-4a11-8931-12cc3f5064e3.jpg
medication	China 9	694	480x480-17b5e94a-64b2-4f6f-8535-da69ee4df6e1	https://static.dollarstreet.org/media/China 9/image/17b5e94a-64b2-4f6f-8535-da69ee4df6e1/480x480-17b5e94a-64b2-4f6f-8535-da69ee4df6e1.jpg
medication	Mexico 1	6342	480x480-57f673bc-67a1-4dfa-8026-f7890c711846	https://static.dollarstreet.org/media/Mexico 1/image/57f673bc-67a1-4dfa-8026-f7890c711846/480x480-57f673bc-67a1-4dfa-8026-f7890c711846.jpg
medication	Haiti 5	40	480x480-aad1d4b7-0c95-4473-b298-0615619884c7	https://static.dollarstreet.org/media/Haiti 5/image/aad1d4b7-0c95-4473-b298-0615619884c7/480x480-aad1d4b7-0c95-4473-b298-0615619884c7.jpg
medication	Cameroon 3`	227	480x480-2fd39e30-c35a-44fc-80da-8ae77c716533	https://static.dollarstreet.org/media/Cameroon 3`/image/2fd39e30-c35a-44fc-80da-8ae77c716533/480x480-2fd39e30-c35a-44fc-80da-8ae77c716533.jpg
medication	Ukraine 1	694	480x480-9fc65d75-1a69-425b-8023-e8ace46eb063	https://static.dollarstreet.org/media/Ukraine 1/image/9fc65d75-1a69-425b-8023-e8ace46eb063/480x480-9fc65d75-1a69-425b-8023-e8ace46eb063.jpg
medication	Sweden 6	4883	480x480-c02e4589-8f7b-4008-8431-0c21286b42d0	https://static.dollarstreet.org/media/Sweden 6/image/c02e4589-8f7b-4008-8431-0c21286b42d0/480x480-c02e4589-8f7b-4008-8431-0c21286b42d0.jpg
medication	Burundi 1	40	480x480-3ca845ee-2a89-430d-bb65-4c975e3adff1	https://static.dollarstreet.org/media/Burundi 1/image/3ca845ee-2a89-430d-bb65-4c975e3adff1/480x480-3ca845ee-2a89-430d-bb65-4c975e3adff1.jpg
medication	Indonesia 12	316	480x480-b4ed4776-e560-4b3b-b5a7-8d53e50ff893	https://static.dollarstreet.org/media/Indonesia 12/image/b4ed4776-e560-4b3b-b5a7-8d53e50ff893/480x480-b4ed4776-e560-4b3b-b5a7-8d53e50ff893.jpg
medication	Mexico 3	897	480x480-01d382b8-5179-48c6-8d75-e3e3ebac8a7a	https://static.dollarstreet.org/media/Mexico 3/image/01d382b8-5179-48c6-8d75-e3e3ebac8a7a/480x480-01d382b8-5179-48c6-8d75-e3e3ebac8a7a.jpg
medication	USA 6	4650	480x480-ac8334b3-625b-4033-9309-703ebdac8f02	https://static.dollarstreet.org/media/USA 6/image/ac8334b3-625b-4033-9309-703ebdac8f02/480x480-ac8334b3-625b-4033-9309-703ebdac8f02.jpg
medication	Haiti 4	43	480x480-ccccff3d-c336-4d9a-b3ad-8fdbe9bc97a4	https://static.dollarstreet.org/media/Haiti 4/image/ccccff3d-c336-4d9a-b3ad-8fdbe9bc97a4/480x480-ccccff3d-c336-4d9a-b3ad-8fdbe9bc97a4.jpg
medication	Tunisia 5	218	480x480-60c39a58-33a2-4c5c-ac9c-7ff0655ca759	https://static.dollarstreet.org/media/Tunisia 5/image/60c39a58-33a2-4c5c-ac9c-7ff0655ca759/480x480-60c39a58-33a2-4c5c-ac9c-7ff0655ca759.jpg
medication	Korea, Rep. 4	660	480x480-86bbba5f-239a-4f00-a352-480d4eb72965	https://static.dollarstreet.org/media/Korea, Rep. 4/image/86bbba5f-239a-4f00-a352-480d4eb72965/480x480-86bbba5f-239a-4f00-a352-480d4eb72965.jpg
medication	Korea, Rep. 3	4531	480x480-a01e9624-6711-4cee-8624-98d4c764062b	https://static.dollarstreet.org/media/Korea, Rep. 3/image/a01e9624-6711-4cee-8624-98d4c764062b/480x480-a01e9624-6711-4cee-8624-98d4c764062b.jpg
medication	Burkina Faso 6	45	480x480-2341869f-b8f0-45e4-b620-8f91bb5595dd	https://static.dollarstreet.org/media/Burkina Faso 6/image/2341869f-b8f0-45e4-b620-8f91bb5595dd/480x480-2341869f-b8f0-45e4-b620-8f91bb5595dd.jpg
medication	Jordan 1	366	480x480-0e0dabf1-d75e-4de7-a6c1-82a1caca27dd	https://static.dollarstreet.org/media/Jordan 1/image/0e0dabf1-d75e-4de7-a6c1-82a1caca27dd/480x480-0e0dabf1-d75e-4de7-a6c1-82a1caca27dd.jpg
medication	Brazil 1	956	480x480-e9f5ef04-b63a-49bc-bb7f-8219f6c43934	https://static.dollarstreet.org/media/Brazil 1/image/e9f5ef04-b63a-49bc-bb7f-8219f6c43934/480x480-e9f5ef04-b63a-49bc-bb7f-8219f6c43934.jpg
medication	USA 5	4200	480x480-e8f20385-e91e-42a4-a37e-89910a1828b4	https://static.dollarstreet.org/media/USA 5/image/e8f20385-e91e-42a4-a37e-89910a1828b4/480x480-e8f20385-e91e-42a4-a37e-89910a1828b4.jpg
medication	Myanmar 3	45	480x480-94882089-c324-4782-8691-1f4767782605	https://static.dollarstreet.org/media/Myanmar 3/image/94882089-c324-4782-8691-1f4767782605/480x480-94882089-c324-4782-8691-1f4767782605.jpg
medication	Tunisia 2	209	480x480-cd363450-3e68-4a42-b224-208f8fcd031f	https://static.dollarstreet.org/media/Tunisia 2/image/cd363450-3e68-4a42-b224-208f8fcd031f/480x480-cd363450-3e68-4a42-b224-208f8fcd031f.jpg
medication	China 23	960	480x480-1ad06535-5e36-484a-b2e1-8eb0ed6a7e06	https://static.dollarstreet.org/media/China 23/image/1ad06535-5e36-484a-b2e1-8eb0ed6a7e06/480x480-1ad06535-5e36-484a-b2e1-8eb0ed6a7e06.jpg
medication	Nepal 5	3829	480x480-32c6d46f-c6d0-4114-8f28-11395d367bbb	https://static.dollarstreet.org/media/Nepal 5/image/32c6d46f-c6d0-4114-8f28-11395d367bbb/480x480-32c6d46f-c6d0-4114-8f28-11395d367bbb.jpg
medication	Liberia 4	48	480x480-6f15dbf7-7b3b-4eb7-998d-00b48fdf8958	https://static.dollarstreet.org/media/Liberia 4/image/6f15dbf7-7b3b-4eb7-998d-00b48fdf8958/480x480-6f15dbf7-7b3b-4eb7-998d-00b48fdf8958.jpg
medication	India 18	369	480x480-3fd8b440-1b2e-461e-9f7a-f7a5d7026744	https://static.dollarstreet.org/media/India 18/image/3fd8b440-1b2e-461e-9f7a-f7a5d7026744/480x480-3fd8b440-1b2e-461e-9f7a-f7a5d7026744.jpg
medication	Russia 1	578	480x480-a7dce3e3-30ad-4a48-a8c5-f3c934a3542c	https://static.dollarstreet.org/media/Russia 1/image/a7dce3e3-30ad-4a48-a8c5-f3c934a3542c/480x480-a7dce3e3-30ad-4a48-a8c5-f3c934a3542c.jpg
