category	country	value	filename	url
plates_of_food	Burundi 3	27	480x480-bbc5485c-1094-41a6-8b3d-f2ddc89b7216	https://static.dollarstreet.org/media/Burundi 3/image/bbc5485c-1094-41a6-8b3d-f2ddc89b7216/480x480-bbc5485c-1094-41a6-8b3d-f2ddc89b7216.jpg
plates_of_food	Tunisia 5	218	480x480-e14fcab6-e730-4b4f-b447-48ec84a880c3	https://static.dollarstreet.org/media/Tunisia 5/image/e14fcab6-e730-4b4f-b447-48ec84a880c3/480x480-e14fcab6-e730-4b4f-b447-48ec84a880c3.jpg
plates_of_food	Ukraine 1	694	480x480-173d85c7-54e7-4252-9ecc-800cb2f65d65	https://static.dollarstreet.org/media/Ukraine 1/image/173d85c7-54e7-4252-9ecc-800cb2f65d65/480x480-173d85c7-54e7-4252-9ecc-800cb2f65d65.jpg
plates_of_food	Ukraine 2	10090	480x480-3a5e8558-a302-45c5-b702-261726fe0a57	https://static.dollarstreet.org/media/Ukraine 2/image/3a5e8558-a302-45c5-b702-261726fe0a57/480x480-3a5e8558-a302-45c5-b702-261726fe0a57.jpg
plates_of_food	India 12	29	480x480-7ef8e325-4a3b-4d7a-9275-6f1d48a8d15f	https://static.dollarstreet.org/media/India 12/image/7ef8e325-4a3b-4d7a-9275-6f1d48a8d15f/480x480-7ef8e325-4a3b-4d7a-9275-6f1d48a8d15f.jpg
plates_of_food	Indonesia 7	211	480x480-fbc48256-5d68-4832-8e45-16dab75112b1	https://static.dollarstreet.org/media/Indonesia 7/image/fbc48256-5d68-4832-8e45-16dab75112b1/480x480-fbc48256-5d68-4832-8e45-16dab75112b1.jpg
plates_of_food	Korea, Rep. 4	660	480x480-12aafe92-fae5-4bc9-b953-caf85cce4b5a	https://static.dollarstreet.org/media/Korea, Rep. 4/image/12aafe92-fae5-4bc9-b953-caf85cce4b5a/480x480-12aafe92-fae5-4bc9-b953-caf85cce4b5a.jpg
plates_of_food	Jordan 4	7433	480x480-3c89df96-17c4-4ce2-a422-ecbde163cc9a	https://static.dollarstreet.org/media/Jordan 4/image/3c89df96-17c4-4ce2-a422-ecbde163cc9a/480x480-3c89df96-17c4-4ce2-a422-ecbde163cc9a.jpg
plates_of_food	Malawi 6	30	480x480-ae5484a9-a730-4c08-9d38-9530e5f56188	https://static.dollarstreet.org/media/Malawi 6/image/ae5484a9-a730-4c08-9d38-9530e5f56188/480x480-ae5484a9-a730-4c08-9d38-9530e5f56188.jpg
plates_of_food	Bolivia 3	180	480x480-f4413396-8558-412b-b68b-43c7d5b9458b	https://static.dollarstreet.org/media/Bolivia 3/image/f4413396-8558-412b-b68b-43c7d5b9458b/480x480-f4413396-8558-412b-b68b-43c7d5b9458b.jpg
plates_of_food	Bulgaria 1	654	480x480-525f9386-40dc-4ebb-850c-d4e417b22742	https://static.dollarstreet.org/media/Bulgaria 1/image/525f9386-40dc-4ebb-850c-d4e417b22742/480x480-525f9386-40dc-4ebb-850c-d4e417b22742.jpg
plates_of_food	Mexico 1	6342	480x480-dfa96e71-51ac-48e3-9714-98af7d810688	https://static.dollarstreet.org/media/Mexico 1/image/dfa96e71-51ac-48e3-9714-98af7d810688/480x480-dfa96e71-51ac-48e3-9714-98af7d810688.jpg
plates_of_food	Myanmar 3	45	480x480-a7f6256e-ef62-46fb-9be2-368aa2f35648	https://static.dollarstreet.org/media/Myanmar 3/image/a7f6256e-ef62-46fb-9be2-368aa2f35648/480x480-a7f6256e-ef62-46fb-9be2-368aa2f35648.jpg
plates_of_food	Tunisia 1	176	480x480-a2052f73-37c3-4321-9628-5805e58d6ea1	https://static.dollarstreet.org/media/Tunisia 1/image/a2052f73-37c3-4321-9628-5805e58d6ea1/480x480-a2052f73-37c3-4321-9628-5805e58d6ea1.jpg
plates_of_food	Korea, Rep. 2	700	480x480-0a5c3a15-7682-4511-9116-3d1dd100ff42	https://static.dollarstreet.org/media/Korea, Rep. 2/image/0a5c3a15-7682-4511-9116-3d1dd100ff42/480x480-0a5c3a15-7682-4511-9116-3d1dd100ff42.jpg
plates_of_food	Sweden 6	4883	480x480-c2255695-53bd-4255-8841-9586b1d709dc	https://static.dollarstreet.org/media/Sweden 6/image/c2255695-53bd-4255-8841-9586b1d709dc/480x480-c2255695-53bd-4255-8841-9586b1d709dc.jpg
plates_of_food	Malawi 7	50	480x480-b50c0026-e017-4a66-997e-ba9547dcb629	https://static.dollarstreet.org/media/Malawi 7/image/b50c0026-e017-4a66-997e-ba9547dcb629/480x480-b50c0026-e017-4a66-997e-ba9547dcb629.jpg
plates_of_food	Philippines 12	262	480x480-267b581a-f037-4ad3-821b-08147a77cab0	https://static.dollarstreet.org/media/Philippines 12/image/267b581a-f037-4ad3-821b-08147a77cab0/480x480-267b581a-f037-4ad3-821b-08147a77cab0.jpg
plates_of_food	USA 7	604	480x480-18e058e6-0aa0-4367-8302-bc3a1d3666e1	https://static.dollarstreet.org/media/USA 7/image/18e058e6-0aa0-4367-8302-bc3a1d3666e1/480x480-18e058e6-0aa0-4367-8302-bc3a1d3666e1.jpg
plates_of_food	China 26	4734	480x480-58793c75-5f9c-4c78-94da-3f2a4e1512e6	https://static.dollarstreet.org/media/China 26/image/58793c75-5f9c-4c78-94da-3f2a4e1512e6/480x480-58793c75-5f9c-4c78-94da-3f2a4e1512e6.jpg
plates_of_food	Bangladesh 6	58	480x480-89216776-6b16-40ae-8df4-8fcb09f1bc4c	https://static.dollarstreet.org/media/Bangladesh 6/image/89216776-6b16-40ae-8df4-8fcb09f1bc4c/480x480-89216776-6b16-40ae-8df4-8fcb09f1bc4c.jpg
plates_of_food	Cameroon 1	174	480x480-c906f0f8-597d-41c6-927c-e80563fbc138	https://static.dollarstreet.org/media/Cameroon 1/image/c906f0f8-597d-41c6-927c-e80563fbc138/480x480-c906f0f8-597d-41c6-927c-e80563fbc138.jpg
plates_of_food	India 2	724	480x480-f6ca6a1f-310d-49b2-887f-c2bb136054bc	https://static.dollarstreet.org/media/India 2/image/f6ca6a1f-310d-49b2-887f-c2bb136054bc/480x480-f6ca6a1f-310d-49b2-887f-c2bb136054bc.jpg
plates_of_food	USA 6	4650	480x480-c7b9749e-fc0a-4675-a8ea-e5a4cf582dec	https://static.dollarstreet.org/media/USA 6/image/c7b9749e-fc0a-4675-a8ea-e5a4cf582dec/480x480-c7b9749e-fc0a-4675-a8ea-e5a4cf582dec.jpg
plates_of_food	Nigeria 3	59	480x480-d11e8fdf-4a4c-4c57-bc3b-718a3f0f4e7c	https://static.dollarstreet.org/media/Nigeria 3/image/d11e8fdf-4a4c-4c57-bc3b-718a3f0f4e7c/480x480-d11e8fdf-4a4c-4c57-bc3b-718a3f0f4e7c.jpg
plates_of_food	Nepal 2	288	480x480-a5a04261-9f58-4980-a15b-d47321bb6581	https://static.dollarstreet.org/media/Nepal 2/image/a5a04261-9f58-4980-a15b-d47321bb6581/480x480-a5a04261-9f58-4980-a15b-d47321bb6581.jpg
plates_of_food	Egypt 1	775	480x480-e66dfa1e-3be5-47c5-8c57-82452ce3ff01	https://static.dollarstreet.org/media/Egypt 1/image/e66dfa1e-3be5-47c5-8c57-82452ce3ff01/480x480-e66dfa1e-3be5-47c5-8c57-82452ce3ff01.jpg
plates_of_food	Korea, Rep. 3	4531	480x480-64d65ce3-cb8f-46f5-b3a3-009208f16dff	https://static.dollarstreet.org/media/Korea, Rep. 3/image/64d65ce3-cb8f-46f5-b3a3-009208f16dff/480x480-64d65ce3-cb8f-46f5-b3a3-009208f16dff.jpg
plates_of_food	Cambodia 8	60	480x480-63a6ea68-4794-4467-bb5e-47b27dd47916	https://static.dollarstreet.org/media/Cambodia 8/image/63a6ea68-4794-4467-bb5e-47b27dd47916/480x480-63a6ea68-4794-4467-bb5e-47b27dd47916.jpg
plates_of_food	Colombia 2	163	480x480-cc49af1f-b275-43ff-a34f-e7c43f5c59ec	https://static.dollarstreet.org/media/Colombia 2/image/cc49af1f-b275-43ff-a34f-e7c43f5c59ec/480x480-cc49af1f-b275-43ff-a34f-e7c43f5c59ec.jpg
plates_of_food	Russia 1	578	480x480-1d2b5f3d-231d-47f8-a1c3-2089edbfd176	https://static.dollarstreet.org/media/Russia 1/image/1d2b5f3d-231d-47f8-a1c3-2089edbfd176/480x480-1d2b5f3d-231d-47f8-a1c3-2089edbfd176.jpg
plates_of_food	USA 5	4200	480x480-e7b57460-0b47-4ca2-abf1-515890f5cf81	https://static.dollarstreet.org/media/USA 5/image/e7b57460-0b47-4ca2-abf1-515890f5cf81/480x480-e7b57460-0b47-4ca2-abf1-515890f5cf81.jpg
plates_of_food	Malawi 4	64	480x480-c0b1fd3a-4927-4360-9bad-7aa48b32e6d4	https://static.dollarstreet.org/media/Malawi 4/image/c0b1fd3a-4927-4360-9bad-7aa48b32e6d4/480x480-c0b1fd3a-4927-4360-9bad-7aa48b32e6d4.jpg
plates_of_food	Indonesia 13	308	480x480-c2d9f912-678f-4327-a1f3-ab85f91f74c1	https://static.dollarstreet.org/media/Indonesia 13/image/c2d9f912-678f-4327-a1f3-ab85f91f74c1/480x480-c2d9f912-678f-4327-a1f3-ab85f91f74c1.jpg
plates_of_food	China 8	781	480x480-39b9a935-b965-468f-b59f-07f83d4e3f06	https://static.dollarstreet.org/media/China 8/image/39b9a935-b965-468f-b59f-07f83d4e3f06/480x480-39b9a935-b965-468f-b59f-07f83d4e3f06.jpg
plates_of_food	Nepal 5	3829	480x480-a39d948a-1ada-4e68-a165-1d3cd19f01ef	https://static.dollarstreet.org/media/Nepal 5/image/a39d948a-1ada-4e68-a165-1d3cd19f01ef/480x480-a39d948a-1ada-4e68-a165-1d3cd19f01ef.jpg
plates_of_food	Myanmar 7	68	480x480-aa54709c-7229-4adb-840f-07e3b9bc7fc1	https://static.dollarstreet.org/media/Myanmar 7/image/aa54709c-7229-4adb-840f-07e3b9bc7fc1/480x480-aa54709c-7229-4adb-840f-07e3b9bc7fc1.jpg
plates_of_food	Colombia 1	145	480x480-9fa464c2-8dc6-4225-b21c-361fb4e85b37	https://static.dollarstreet.org/media/Colombia 1/image/9fa464c2-8dc6-4225-b21c-361fb4e85b37/480x480-9fa464c2-8dc6-4225-b21c-361fb4e85b37.jpg
plates_of_food	Turkey 1	505	480x480-e1812e51-e95c-4594-a64b-667e10324b7e	https://static.dollarstreet.org/media/Turkey 1/image/e1812e51-e95c-4594-a64b-667e10324b7e/480x480-e1812e51-e95c-4594-a64b-667e10324b7e.jpg
plates_of_food	Melvina's home	3755	480x480-afbee75b-8361-4d3b-bea2-16b891e33d04	https://static.dollarstreet.org/media/Melvina's home/image/afbee75b-8361-4d3b-bea2-16b891e33d04/480x480-afbee75b-8361-4d3b-bea2-16b891e33d04.jpg
plates_of_food	Nigeria 4	72	480x480-594cd8df-9437-4826-8536-6fd9414a0a65	https://static.dollarstreet.org/media/Nigeria 4/image/594cd8df-9437-4826-8536-6fd9414a0a65/480x480-594cd8df-9437-4826-8536-6fd9414a0a65.jpg
plates_of_food	Indonesia 12	316	480x480-50daf21d-eeaf-46e8-8443-2f9ca2ee7321	https://static.dollarstreet.org/media/Indonesia 12/image/50daf21d-eeaf-46e8-8443-2f9ca2ee7321/480x480-50daf21d-eeaf-46e8-8443-2f9ca2ee7321.jpg
plates_of_food	Korea, Republic of	827	480x480-b4e1ed46-5c3f-4756-8e3c-25607ca5c185	https://static.dollarstreet.org/media/Korea, Republic of/image/b4e1ed46-5c3f-4756-8e3c-25607ca5c185/480x480-b4e1ed46-5c3f-4756-8e3c-25607ca5c185.jpg
plates_of_food	China 4	3704	480x480-b2dcd899-1968-48e5-bffe-ca9444ef55bb	https://static.dollarstreet.org/media/China 4/image/b2dcd899-1968-48e5-bffe-ca9444ef55bb/480x480-b2dcd899-1968-48e5-bffe-ca9444ef55bb.jpg
plates_of_food	Bangladesh 5	72	480x480-3b643242-f9e4-4f46-914e-9d356e022184	https://static.dollarstreet.org/media/Bangladesh 5/image/3b643242-f9e4-4f46-914e-9d356e022184/480x480-3b643242-f9e4-4f46-914e-9d356e022184.jpg
plates_of_food	Cameroon 4	137	480x480-5a12d398-a5d6-468e-869d-e8c53fbfcc37	https://static.dollarstreet.org/media/Cameroon 4/image/5a12d398-a5d6-468e-869d-e8c53fbfcc37/480x480-5a12d398-a5d6-468e-869d-e8c53fbfcc37.jpg
plates_of_food	USA 8	855	480x480-aa7aab22-8159-4767-838f-a5bd3b8b1517	https://static.dollarstreet.org/media/USA 8/image/aa7aab22-8159-4767-838f-a5bd3b8b1517/480x480-aa7aab22-8159-4767-838f-a5bd3b8b1517.jpg
plates_of_food	Peru 2	3588	480x480-53c67614-159d-4543-b05e-a29217130ed7	https://static.dollarstreet.org/media/Peru 2/image/53c67614-159d-4543-b05e-a29217130ed7/480x480-53c67614-159d-4543-b05e-a29217130ed7.jpg
plates_of_food	Nigeria 6	76	480x480-663e109c-8888-415a-894f-4d1e10066207	https://static.dollarstreet.org/media/Nigeria 6/image/663e109c-8888-415a-894f-4d1e10066207/480x480-663e109c-8888-415a-894f-4d1e10066207.jpg
plates_of_food	Jordan 1	366	480x480-81d18721-81fa-454a-a3bc-0f4235ae2153	https://static.dollarstreet.org/media/Jordan 1/image/81d18721-81fa-454a-a3bc-0f4235ae2153/480x480-81d18721-81fa-454a-a3bc-0f4235ae2153.jpg
plates_of_food	Latvia 4	480	480x480-d1d319b8-1941-4974-af0e-868d25dcf0a5	https://static.dollarstreet.org/media/Latvia 4/image/d1d319b8-1941-4974-af0e-868d25dcf0a5/480x480-d1d319b8-1941-4974-af0e-868d25dcf0a5.jpg
plates_of_food	USA 15	3450	480x480-24388b18-c9ca-4a8d-8eea-04b572e56919	https://static.dollarstreet.org/media/USA 15/image/24388b18-c9ca-4a8d-8eea-04b572e56919/480x480-24388b18-c9ca-4a8d-8eea-04b572e56919.jpg
plates_of_food	Bangladesh 9	78	480x480-d14c573a-e13f-484c-9e2e-7cb6d6a2f8d6	https://static.dollarstreet.org/media/Bangladesh 9/image/d14c573a-e13f-484c-9e2e-7cb6d6a2f8d6/480x480-d14c573a-e13f-484c-9e2e-7cb6d6a2f8d6.jpg
plates_of_food	Bolivia 2	254	480x480-aebdadef-2b83-4eee-aedf-311301aa8413	https://static.dollarstreet.org/media/Bolivia 2/image/aebdadef-2b83-4eee-aedf-311301aa8413/480x480-aebdadef-2b83-4eee-aedf-311301aa8413.jpg
plates_of_food	Philippines 11	865	480x480-d42dc487-cead-4c92-a62f-cf053b71d024	https://static.dollarstreet.org/media/Philippines 11/image/d42dc487-cead-4c92-a62f-cf053b71d024/480x480-d42dc487-cead-4c92-a62f-cf053b71d024.jpg
plates_of_food	Sweden 7	3439	480x480-aa08cc82-ba99-4914-b553-e04f828a3019	https://static.dollarstreet.org/media/Sweden 7/image/aa08cc82-ba99-4914-b553-e04f828a3019/480x480-aa08cc82-ba99-4914-b553-e04f828a3019.jpg
plates_of_food	Liberia 2	87	480x480-2dd20820-fcad-4499-91ee-8b06c4c1376e	https://static.dollarstreet.org/media/Liberia 2/image/2dd20820-fcad-4499-91ee-8b06c4c1376e/480x480-2dd20820-fcad-4499-91ee-8b06c4c1376e.jpg
plates_of_food	Bangladesh 10	175	480x480-b3726fbc-7b79-4d93-9b0c-2aa8da0582e9	https://static.dollarstreet.org/media/Bangladesh 10/image/b3726fbc-7b79-4d93-9b0c-2aa8da0582e9/480x480-b3726fbc-7b79-4d93-9b0c-2aa8da0582e9.jpg
plates_of_food	Ukraine 3	476	480x480-3ca5329b-a941-40f6-861b-a6fe34d7b311	https://static.dollarstreet.org/media/Ukraine 3/image/3ca5329b-a941-40f6-861b-a6fe34d7b311/480x480-3ca5329b-a941-40f6-861b-a6fe34d7b311.jpg
plates_of_food	Vietnam 5	2944	480x480-1ff73325-6aa8-46a2-a9d7-6184ddcdf81b	https://static.dollarstreet.org/media/Vietnam 5/image/1ff73325-6aa8-46a2-a9d7-6184ddcdf81b/480x480-1ff73325-6aa8-46a2-a9d7-6184ddcdf81b.jpg
plates_of_food	Philippines 2	93	480x480-977636d2-ee67-4c1e-a99f-cc33b1acc23c	https://static.dollarstreet.org/media/Philippines 2/image/977636d2-ee67-4c1e-a99f-cc33b1acc23c/480x480-977636d2-ee67-4c1e-a99f-cc33b1acc23c.jpg
plates_of_food	Philippines 8	228	480x480-494e2b57-207c-40ee-89d5-7e65dbecf7a4	https://static.dollarstreet.org/media/Philippines 8/image/494e2b57-207c-40ee-89d5-7e65dbecf7a4/480x480-494e2b57-207c-40ee-89d5-7e65dbecf7a4.jpg
plates_of_food	Mexico 3	897	480x480-5de5300a-5661-41a1-ae67-226761f70b42	https://static.dollarstreet.org/media/Mexico 3/image/5de5300a-5661-41a1-ae67-226761f70b42/480x480-5de5300a-5661-41a1-ae67-226761f70b42.jpg
plates_of_food	France 2	2895	480x480-cc6c1c8d-2d4a-4187-ba55-71353c17091c	https://static.dollarstreet.org/media/France 2/image/cc6c1c8d-2d4a-4187-ba55-71353c17091c/480x480-cc6c1c8d-2d4a-4187-ba55-71353c17091c.jpg
plates_of_food	Peru 1	102	480x480-70d56478-ca22-41cd-b194-1608eb0dd9db	https://static.dollarstreet.org/media/Peru 1/image/70d56478-ca22-41cd-b194-1608eb0dd9db/480x480-70d56478-ca22-41cd-b194-1608eb0dd9db.jpg
plates_of_food	Nepal 3	201	480x480-bfb9eadc-dd88-4871-b8d3-6eac12cb75fa	https://static.dollarstreet.org/media/Nepal 3/image/bfb9eadc-dd88-4871-b8d3-6eac12cb75fa/480x480-bfb9eadc-dd88-4871-b8d3-6eac12cb75fa.jpg
plates_of_food	India 4	466	480x480-ec3bc8dc-b982-43e6-bdfb-0ab983746b14	https://static.dollarstreet.org/media/India 4/image/ec3bc8dc-b982-43e6-bdfb-0ab983746b14/480x480-ec3bc8dc-b982-43e6-bdfb-0ab983746b14.jpg
plates_of_food	USA 10	2055	480x480-5f0451a0-f59a-4212-9c43-acd9b39a8ad6	https://static.dollarstreet.org/media/USA 10/image/5f0451a0-f59a-4212-9c43-acd9b39a8ad6/480x480-5f0451a0-f59a-4212-9c43-acd9b39a8ad6.jpg
plates_of_food	Palestine 1	112	480x480-70f7a5bd-ac98-4fd2-a0ea-7ef73f5df205	https://static.dollarstreet.org/media/Palestine 1/image/70f7a5bd-ac98-4fd2-a0ea-7ef73f5df205/480x480-70f7a5bd-ac98-4fd2-a0ea-7ef73f5df205.jpg
plates_of_food	Indonesia 11	234	480x480-a2beeb33-3875-4041-9b63-90fdcd3019b5	https://static.dollarstreet.org/media/Indonesia 11/image/a2beeb33-3875-4041-9b63-90fdcd3019b5/480x480-a2beeb33-3875-4041-9b63-90fdcd3019b5.jpg
plates_of_food	Brazil 1	956	480x480-7359bb4e-7bc7-47a9-aba0-bce8b799453f	https://static.dollarstreet.org/media/Brazil 1/image/7359bb4e-7bc7-47a9-aba0-bce8b799453f/480x480-7359bb4e-7bc7-47a9-aba0-bce8b799453f.jpg
plates_of_food	United Kingdom 3	2010	480x480-d1f24180-f154-4ffe-8c98-9f261894c28a	https://static.dollarstreet.org/media/United Kingdom 3/image/d1f24180-f154-4ffe-8c98-9f261894c28a/480x480-d1f24180-f154-4ffe-8c98-9f261894c28a.jpg
plates_of_food	Tunisia 4	114	480x480-03fd6f1e-4e8d-49af-839b-55223c80fb5a	https://static.dollarstreet.org/media/Tunisia 4/image/03fd6f1e-4e8d-49af-839b-55223c80fb5a/480x480-03fd6f1e-4e8d-49af-839b-55223c80fb5a.jpg
plates_of_food	Philippines 4	195	480x480-9c724132-5ce6-4d1f-a27c-a01824a6a72e	https://static.dollarstreet.org/media/Philippines 4/image/9c724132-5ce6-4d1f-a27c-a01824a6a72e/480x480-9c724132-5ce6-4d1f-a27c-a01824a6a72e.jpg
plates_of_food	Cambodia 6	463	480x480-2d75e0a4-5d1c-4b11-9858-fae267f83fd7	https://static.dollarstreet.org/media/Cambodia 6/image/2d75e0a4-5d1c-4b11-9858-fae267f83fd7/480x480-2d75e0a4-5d1c-4b11-9858-fae267f83fd7.jpg
plates_of_food	USA 9	2001	480x480-b4080ad9-7f7c-458c-b248-8d7af70e9e29	https://static.dollarstreet.org/media/USA 9/image/b4080ad9-7f7c-458c-b248-8d7af70e9e29/480x480-b4080ad9-7f7c-458c-b248-8d7af70e9e29.jpg
plates_of_food	Cambodia 7	117	480x480-0ee5be7a-f580-4228-b335-f9d20f9b2e15	https://static.dollarstreet.org/media/Cambodia 7/image/0ee5be7a-f580-4228-b335-f9d20f9b2e15/480x480-0ee5be7a-f580-4228-b335-f9d20f9b2e15.jpg
plates_of_food	Vietnam 2	236	480x480-cf98c9d8-5562-41a6-90fb-50cc22150068	https://static.dollarstreet.org/media/Vietnam 2/image/cf98c9d8-5562-41a6-90fb-50cc22150068/480x480-cf98c9d8-5562-41a6-90fb-50cc22150068.jpg
plates_of_food	Romania 1	1019	480x480-db43276e-c2a9-4e69-b34a-9d346ecddfc1	https://static.dollarstreet.org/media/Romania 1/image/db43276e-c2a9-4e69-b34a-9d346ecddfc1/480x480-db43276e-c2a9-4e69-b34a-9d346ecddfc1.jpg
plates_of_food	United Kingdom 2	1890	480x480-96a3d4a4-749d-4537-9681-2c6d24da0848	https://static.dollarstreet.org/media/United Kingdom 2/image/96a3d4a4-749d-4537-9681-2c6d24da0848/480x480-96a3d4a4-749d-4537-9681-2c6d24da0848.jpg
plates_of_food	Colombia 3	123	480x480-80a38807-0d85-4d0f-b87c-a1ad5eb864d4	https://static.dollarstreet.org/media/Colombia 3/image/80a38807-0d85-4d0f-b87c-a1ad5eb864d4/480x480-80a38807-0d85-4d0f-b87c-a1ad5eb864d4.jpg
plates_of_food	Myanmar 6	195	480x480-09eda75c-0a08-40e5-9031-72d1289fb944	https://static.dollarstreet.org/media/Myanmar 6/image/09eda75c-0a08-40e5-9031-72d1289fb944/480x480-09eda75c-0a08-40e5-9031-72d1289fb944.jpg
plates_of_food	Cambodia 4	437	480x480-218c0c17-3489-4829-baf9-098c8ae46f4f	https://static.dollarstreet.org/media/Cambodia 4/image/218c0c17-3489-4829-baf9-098c8ae46f4f/480x480-218c0c17-3489-4829-baf9-098c8ae46f4f.jpg
plates_of_food	USA 14	1796	480x480-2a4764d0-8a92-47cb-882a-1a47718f0d08	https://static.dollarstreet.org/media/USA 14/image/2a4764d0-8a92-47cb-882a-1a47718f0d08/480x480-2a4764d0-8a92-47cb-882a-1a47718f0d08.jpg
plates_of_food	Nigeria 1	124	480x480-72aff1d6-ce19-4890-b658-46520f1ba725	https://static.dollarstreet.org/media/Nigeria 1/image/72aff1d6-ce19-4890-b658-46520f1ba725/480x480-72aff1d6-ce19-4890-b658-46520f1ba725.jpg
