category	country	value	filename	url
showers	Burkina Faso 1	29	480x480-b6255f0b-d00f-4826-ad06-c4a812d05c4c	https://static.dollarstreet.org/media/Burkina Faso 1/image/b6255f0b-d00f-4826-ad06-c4a812d05c4c/480x480-b6255f0b-d00f-4826-ad06-c4a812d05c4c.jpg
showers	Tunisia 5	218	480x480-c6be6aae-4057-448a-8390-cb5a4da5e4f9	https://static.dollarstreet.org/media/Tunisia 5/image/c6be6aae-4057-448a-8390-cb5a4da5e4f9/480x480-c6be6aae-4057-448a-8390-cb5a4da5e4f9.jpg
showers	China 7	730	480x480-7ac4e4eb-9d7c-470c-badb-5b453035cdee	https://static.dollarstreet.org/media/China 7/image/7ac4e4eb-9d7c-470c-badb-5b453035cdee/480x480-7ac4e4eb-9d7c-470c-badb-5b453035cdee.jpg
showers	China 18	10098	480x480-9adc194e-0c96-42fd-8e1b-7e47628d11c8	https://static.dollarstreet.org/media/China 18/image/9adc194e-0c96-42fd-8e1b-7e47628d11c8/480x480-9adc194e-0c96-42fd-8e1b-7e47628d11c8.jpg
showers	India 12	29	480x480-21cf6e42-8a4c-4260-a34d-af04887ee022	https://static.dollarstreet.org/media/India 12/image/21cf6e42-8a4c-4260-a34d-af04887ee022/480x480-21cf6e42-8a4c-4260-a34d-af04887ee022.jpg
showers	Indonesia 7	211	480x480-4cefba64-089b-4d89-851d-1418a704a00d	https://static.dollarstreet.org/media/Indonesia 7/image/4cefba64-089b-4d89-851d-1418a704a00d/480x480-4cefba64-089b-4d89-851d-1418a704a00d.jpg
showers	Romania 2	722	480x480-bc4f5956-43d1-4050-8f15-3e16b2bd4898	https://static.dollarstreet.org/media/Romania 2/image/bc4f5956-43d1-4050-8f15-3e16b2bd4898/480x480-bc4f5956-43d1-4050-8f15-3e16b2bd4898.jpg
showers	Ukraine 2	10090	480x480-4cc339b1-5ac7-4c0e-a089-832554fd8f8f	https://static.dollarstreet.org/media/Ukraine 2/image/4cc339b1-5ac7-4c0e-a089-832554fd8f8f/480x480-4cc339b1-5ac7-4c0e-a089-832554fd8f8f.jpg
showers	Malawi 6	30	480x480-95d9023f-ab67-4e09-abe7-2129d2b7da0c	https://static.dollarstreet.org/media/Malawi 6/image/95d9023f-ab67-4e09-abe7-2129d2b7da0c/480x480-95d9023f-ab67-4e09-abe7-2129d2b7da0c.jpg
showers	Tunisia 2	209	480x480-f9bcc817-68cb-4fd1-8dd0-d0e4de8f1872	https://static.dollarstreet.org/media/Tunisia 2/image/f9bcc817-68cb-4fd1-8dd0-d0e4de8f1872/480x480-f9bcc817-68cb-4fd1-8dd0-d0e4de8f1872.jpg
showers	India 23	753	480x480-f76a733a-c599-492e-a5c8-6557f6133229	https://static.dollarstreet.org/media/India 23/image/f76a733a-c599-492e-a5c8-6557f6133229/480x480-f76a733a-c599-492e-a5c8-6557f6133229.jpg
showers	Jordan 4	7433	480x480-a82155ea-1699-40de-9169-ad939498f18f	https://static.dollarstreet.org/media/Jordan 4/image/a82155ea-1699-40de-9169-ad939498f18f/480x480-a82155ea-1699-40de-9169-ad939498f18f.jpg
showers	Haiti 3	39	480x480-88781d61-e147-446b-ac6b-5cb2cca52393	https://static.dollarstreet.org/media/Haiti 3/image/88781d61-e147-446b-ac6b-5cb2cca52393/480x480-88781d61-e147-446b-ac6b-5cb2cca52393.jpg
showers	Philippines 8	228	480x480-36a76c4a-3fb9-42c3-b540-814e1641c6db	https://static.dollarstreet.org/media/Philippines 8/image/36a76c4a-3fb9-42c3-b540-814e1641c6db/480x480-36a76c4a-3fb9-42c3-b540-814e1641c6db.jpg
showers	Egypt 1	775	480x480-0c148b85-0bd1-4fb9-86c1-36df62c11901	https://static.dollarstreet.org/media/Egypt 1/image/0c148b85-0bd1-4fb9-86c1-36df62c11901/480x480-0c148b85-0bd1-4fb9-86c1-36df62c11901.jpg
showers	Mexico 1	6342	480x480-7d7ccdc7-3c93-4e07-9569-21ac852fe0cf	https://static.dollarstreet.org/media/Mexico 1/image/7d7ccdc7-3c93-4e07-9569-21ac852fe0cf/480x480-7d7ccdc7-3c93-4e07-9569-21ac852fe0cf.jpg
showers	Burundi 1	40	480x480-4141c280-5d5d-462a-9a9b-a3012ee5bdcd	https://static.dollarstreet.org/media/Burundi 1/image/4141c280-5d5d-462a-9a9b-a3012ee5bdcd/480x480-4141c280-5d5d-462a-9a9b-a3012ee5bdcd.jpg
