category	country	value	filename	url
spices	Burundi 3	27	480x480-e96309b5-bab2-4941-808a-b8af78a9d140	https://static.dollarstreet.org/media/Burundi 3/image/e96309b5-bab2-4941-808a-b8af78a9d140/480x480-e96309b5-bab2-4941-808a-b8af78a9d140.jpg
spices	Philippines 4	195	480x480-ec3f2e39-422e-47b5-af29-a186ee741351	https://static.dollarstreet.org/media/Philippines 4/image/ec3f2e39-422e-47b5-af29-a186ee741351/480x480-ec3f2e39-422e-47b5-af29-a186ee741351.jpg
spices	USA 7	604	480x480-4fc9fa2e-9f84-4241-ac62-643d415f2094	https://static.dollarstreet.org/media/USA 7/image/4fc9fa2e-9f84-4241-ac62-643d415f2094/480x480-4fc9fa2e-9f84-4241-ac62-643d415f2094.jpg
spices	China 18	10098	480x480-860d98bd-1398-413e-ac17-5d63e0a8fc1e	https://static.dollarstreet.org/media/China 18/image/860d98bd-1398-413e-ac17-5d63e0a8fc1e/480x480-860d98bd-1398-413e-ac17-5d63e0a8fc1e.jpg
spices	India 12	29	480x480-23ee7b95-e132-4abe-9e74-15a7b6995cb3	https://static.dollarstreet.org/media/India 12/image/23ee7b95-e132-4abe-9e74-15a7b6995cb3/480x480-23ee7b95-e132-4abe-9e74-15a7b6995cb3.jpg
spices	Tunisia 2	209	480x480-28207c0b-02ec-4022-9023-ed7663ba90ac	https://static.dollarstreet.org/media/Tunisia 2/image/28207c0b-02ec-4022-9023-ed7663ba90ac/480x480-28207c0b-02ec-4022-9023-ed7663ba90ac.jpg
spices	Palestine 2	624	480x480-5f6d34cf-7873-4252-aa19-dd011d828651	https://static.dollarstreet.org/media/Palestine 2/image/5f6d34cf-7873-4252-aa19-dd011d828651/480x480-5f6d34cf-7873-4252-aa19-dd011d828651.jpg
spices	Ukraine 2	10090	480x480-c0aa0e42-655c-4672-bf55-bf205babdd4b	https://static.dollarstreet.org/media/Ukraine 2/image/c0aa0e42-655c-4672-bf55-bf205babdd4b/480x480-c0aa0e42-655c-4672-bf55-bf205babdd4b.jpg
spices	Malawi 6	30	480x480-fa340d44-a7e2-48b0-b0f0-1ae5d6afaac3	https://static.dollarstreet.org/media/Malawi 6/image/fa340d44-a7e2-48b0-b0f0-1ae5d6afaac3/480x480-fa340d44-a7e2-48b0-b0f0-1ae5d6afaac3.jpg
spices	Cambodia 9	195	480x480-0336e941-558f-4d96-a4a4-441ceacf3c09	https://static.dollarstreet.org/media/Cambodia 9/image/0336e941-558f-4d96-a4a4-441ceacf3c09/480x480-0336e941-558f-4d96-a4a4-441ceacf3c09.jpg
spices	Bulgaria 1	654	480x480-96f9c385-2651-4450-a075-d0685bda5443	https://static.dollarstreet.org/media/Bulgaria 1/image/96f9c385-2651-4450-a075-d0685bda5443/480x480-96f9c385-2651-4450-a075-d0685bda5443.jpg
spices	Jordan 4	7433	480x480-919730e0-e209-4f58-989f-390f6bc619d6	https://static.dollarstreet.org/media/Jordan 4/image/919730e0-e209-4f58-989f-390f6bc619d6/480x480-919730e0-e209-4f58-989f-390f6bc619d6.jpg
