category	country	value	filename	url
toilets	Burundi 3	27	480x480-f7514f35-4ea1-4934-945b-db068c34b552	https://static.dollarstreet.org/media/Burundi 3/image/f7514f35-4ea1-4934-945b-db068c34b552/480x480-f7514f35-4ea1-4934-945b-db068c34b552.jpg
toilets	Philippines 1	194	480x480-b1e1d585-99c9-427a-9c36-502af4b1f812	https://static.dollarstreet.org/media/Philippines 1/image/b1e1d585-99c9-427a-9c36-502af4b1f812/480x480-b1e1d585-99c9-427a-9c36-502af4b1f812.jpg
toilets	China 1	578	480x480-c779da1e-232e-441f-a705-b70d204be5a2	https://static.dollarstreet.org/media/China 1/image/c779da1e-232e-441f-a705-b70d204be5a2/480x480-c779da1e-232e-441f-a705-b70d204be5a2.jpg
toilets	China 18	10098	480x480-185c17dd-cb7d-499a-b67c-490536bdfb58	https://static.dollarstreet.org/media/China 18/image/185c17dd-cb7d-499a-b67c-490536bdfb58/480x480-185c17dd-cb7d-499a-b67c-490536bdfb58.jpg
toilets	India 12	29	480x480-5e735071-58c0-4d45-8609-8ba0361ab9ad	https://static.dollarstreet.org/media/India 12/image/5e735071-58c0-4d45-8609-8ba0361ab9ad/480x480-5e735071-58c0-4d45-8609-8ba0361ab9ad.jpg
toilets	Bolivia 3	180	480x480-0ce81ba1-9b81-4b49-9ef7-1caec44292b0	https://static.dollarstreet.org/media/Bolivia 3/image/0ce81ba1-9b81-4b49-9ef7-1caec44292b0/480x480-0ce81ba1-9b81-4b49-9ef7-1caec44292b0.jpg
toilets	USA 7	604	480x480-5a6680ec-8298-4660-8e27-2815e05e6a96	https://static.dollarstreet.org/media/USA 7/image/5a6680ec-8298-4660-8e27-2815e05e6a96/480x480-5a6680ec-8298-4660-8e27-2815e05e6a96.jpg
toilets	Ukraine 2	10090	480x480-9a9bdbd4-13a7-4f5a-acf2-718797dea88f	https://static.dollarstreet.org/media/Ukraine 2/image/9a9bdbd4-13a7-4f5a-acf2-718797dea88f/480x480-9a9bdbd4-13a7-4f5a-acf2-718797dea88f.jpg
toilets	Malawi 6	30	480x480-81c7da98-cf2c-466b-975d-9cc41036cfc7	https://static.dollarstreet.org/media/Malawi 6/image/81c7da98-cf2c-466b-975d-9cc41036cfc7/480x480-81c7da98-cf2c-466b-975d-9cc41036cfc7.jpg
toilets	Philippines 4	195	480x480-63b6dea0-d61a-4632-a8c8-bc7d406414ba	https://static.dollarstreet.org/media/Philippines 4/image/63b6dea0-d61a-4632-a8c8-bc7d406414ba/480x480-63b6dea0-d61a-4632-a8c8-bc7d406414ba.jpg
toilets	Indonesia 8	565	480x480-3a8fcc09-06e8-4e61-a7f7-8035c7ad6af2	https://static.dollarstreet.org/media/Indonesia 8/image/3a8fcc09-06e8-4e61-a7f7-8035c7ad6af2/480x480-3a8fcc09-06e8-4e61-a7f7-8035c7ad6af2.jpg
toilets	Mexico 1	6342	480x480-fea58aed-b3e3-4958-b38d-fd1b1d69e64f	https://static.dollarstreet.org/media/Mexico 1/image/fea58aed-b3e3-4958-b38d-fd1b1d69e64f/480x480-fea58aed-b3e3-4958-b38d-fd1b1d69e64f.jpg
toilets	Haiti 3	39	480x480-f32bf699-699d-4872-b61c-bdfe973581d3	https://static.dollarstreet.org/media/Haiti 3/image/f32bf699-699d-4872-b61c-bdfe973581d3/480x480-f32bf699-699d-4872-b61c-bdfe973581d3.jpg
toilets	Tunisia 1	176	480x480-440e04c1-71f8-4019-99c6-4377cc2c1bc8	https://static.dollarstreet.org/media/Tunisia 1/image/440e04c1-71f8-4019-99c6-4377cc2c1bc8/480x480-440e04c1-71f8-4019-99c6-4377cc2c1bc8.jpg
toilets	Ukraine 1	694	480x480-cfb483a8-f777-48be-8d0a-82ae76955877	https://static.dollarstreet.org/media/Ukraine 1/image/cfb483a8-f777-48be-8d0a-82ae76955877/480x480-cfb483a8-f777-48be-8d0a-82ae76955877.jpg
toilets	Sweden 6	4883	480x480-7b57361f-d244-4d62-a14d-c1900898c3ab	https://static.dollarstreet.org/media/Sweden 6/image/7b57361f-d244-4d62-a14d-c1900898c3ab/480x480-7b57361f-d244-4d62-a14d-c1900898c3ab.jpg
toilets	Burundi 1	40	480x480-2325907a-5c2f-4dd1-8925-c34e28eae9c9	https://static.dollarstreet.org/media/Burundi 1/image/2325907a-5c2f-4dd1-8925-c34e28eae9c9/480x480-2325907a-5c2f-4dd1-8925-c34e28eae9c9.jpg
toilets	Nepal 3	201	480x480-c0daa2c0-cbe0-4c9b-9af2-076a837d079e	https://static.dollarstreet.org/media/Nepal 3/image/c0daa2c0-cbe0-4c9b-9af2-076a837d079e/480x480-c0daa2c0-cbe0-4c9b-9af2-076a837d079e.jpg
toilets	India 17	526	480x480-37e91973-98d5-40be-9424-989430bf7329	https://static.dollarstreet.org/media/India 17/image/37e91973-98d5-40be-9424-989430bf7329/480x480-37e91973-98d5-40be-9424-989430bf7329.jpg
toilets	China 26	4734	480x480-f505d376-f314-4077-a323-83f8e9187df8	https://static.dollarstreet.org/media/China 26/image/f505d376-f314-4077-a323-83f8e9187df8/480x480-f505d376-f314-4077-a323-83f8e9187df8.jpg
toilets	Haiti 4	43	480x480-6c505719-001e-4db4-b81f-880d3e9dde22	https://static.dollarstreet.org/media/Haiti 4/image/6c505719-001e-4db4-b81f-880d3e9dde22/480x480-6c505719-001e-4db4-b81f-880d3e9dde22.jpg
toilets	Kenya 1	174	480x480-710303a6-3092-4374-a137-ad0d4b6ba397	https://static.dollarstreet.org/media/Kenya 1/image/710303a6-3092-4374-a137-ad0d4b6ba397/480x480-710303a6-3092-4374-a137-ad0d4b6ba397.jpg
toilets	Romania 2	722	480x480-28768a5f-5c70-4c3c-a318-a07fe20bda80	https://static.dollarstreet.org/media/Romania 2/image/28768a5f-5c70-4c3c-a318-a07fe20bda80/480x480-28768a5f-5c70-4c3c-a318-a07fe20bda80.jpg
toilets	USA 6	4650	480x480-e6c53cae-d166-4495-8d3f-611d3a4270b5	https://static.dollarstreet.org/media/USA 6/image/e6c53cae-d166-4495-8d3f-611d3a4270b5/480x480-e6c53cae-d166-4495-8d3f-611d3a4270b5.jpg
toilets	Burkina Faso 6	45	480x480-ab992719-70a0-4603-b948-137d7ca20f82	https://static.dollarstreet.org/media/Burkina Faso 6/image/ab992719-70a0-4603-b948-137d7ca20f82/480x480-ab992719-70a0-4603-b948-137d7ca20f82.jpg
toilets	Philippines 7	170	480x480-6289a254-8ee3-48cf-bd42-e1efc8cb6ab9	https://static.dollarstreet.org/media/Philippines 7/image/6289a254-8ee3-48cf-bd42-e1efc8cb6ab9/480x480-6289a254-8ee3-48cf-bd42-e1efc8cb6ab9.jpg
toilets	India 2	724	480x480-c74b634e-9bcb-45ef-929d-1d2462f53ec7	https://static.dollarstreet.org/media/India 2/image/c74b634e-9bcb-45ef-929d-1d2462f53ec7/480x480-c74b634e-9bcb-45ef-929d-1d2462f53ec7.jpg
toilets	Nepal 5	3829	480x480-95cb857c-d4c9-4a3e-bc0e-4bf5b6e22181	https://static.dollarstreet.org/media/Nepal 5/image/95cb857c-d4c9-4a3e-bc0e-4bf5b6e22181/480x480-95cb857c-d4c9-4a3e-bc0e-4bf5b6e22181.jpg
