category	country	value	filename	url
toys	Burundi 3	27	480x480-663342b3-b8f7-40fe-8563-54ef3b9be999	https://static.dollarstreet.org/media/Burundi 3/image/663342b3-b8f7-40fe-8563-54ef3b9be999/480x480-663342b3-b8f7-40fe-8563-54ef3b9be999.jpg
toys	Myanmar 6	195	480x480-d2840896-bb41-4861-858c-b40dbbbbb097	https://static.dollarstreet.org/media/Myanmar 6/image/d2840896-bb41-4861-858c-b40dbbbbb097/480x480-d2840896-bb41-4861-858c-b40dbbbbb097.jpg
toys	Russia 1	578	480x480-a0880456-f194-4e58-b6eb-aae6c4457f44	https://static.dollarstreet.org/media/Russia 1/image/a0880456-f194-4e58-b6eb-aae6c4457f44/480x480-a0880456-f194-4e58-b6eb-aae6c4457f44.jpg
toys	China 18	10098	480x480-cf03de9b-81fb-48a0-8f3a-9e6cd2c5e7ec	https://static.dollarstreet.org/media/China 18/image/cf03de9b-81fb-48a0-8f3a-9e6cd2c5e7ec/480x480-cf03de9b-81fb-48a0-8f3a-9e6cd2c5e7ec.jpg
toys	India 12	29	480x480-651885d9-55e2-4f94-a032-b4d9fd960632	https://static.dollarstreet.org/media/India 12/image/651885d9-55e2-4f94-a032-b4d9fd960632/480x480-651885d9-55e2-4f94-a032-b4d9fd960632.jpg
toys	Tunisia 1	176	480x480-1d63acab-bafe-4bdf-a75a-1881f01391c1	https://static.dollarstreet.org/media/Tunisia 1/image/1d63acab-bafe-4bdf-a75a-1881f01391c1/480x480-1d63acab-bafe-4bdf-a75a-1881f01391c1.jpg
toys	China 1	578	480x480-2f746a97-889d-4f04-925e-15394ae0a951	https://static.dollarstreet.org/media/China 1/image/2f746a97-889d-4f04-925e-15394ae0a951/480x480-2f746a97-889d-4f04-925e-15394ae0a951.jpg
toys	Ukraine 2	10090	480x480-007ddd5f-029e-44e1-bbd1-d66f2052cb4d	https://static.dollarstreet.org/media/Ukraine 2/image/007ddd5f-029e-44e1-bbd1-d66f2052cb4d/480x480-007ddd5f-029e-44e1-bbd1-d66f2052cb4d.jpg
toys	Zimbabwe 4	34	480x480-9a4e153c-dcf7-4c1a-b871-07caef31de00	https://static.dollarstreet.org/media/Zimbabwe 4/image/9a4e153c-dcf7-4c1a-b871-07caef31de00/480x480-9a4e153c-dcf7-4c1a-b871-07caef31de00.jpg
toys	Bangladesh 10	175	480x480-9ce5c599-a2e1-4ff2-9ec8-27e607164430	https://static.dollarstreet.org/media/Bangladesh 10/image/9ce5c599-a2e1-4ff2-9ec8-27e607164430/480x480-9ce5c599-a2e1-4ff2-9ec8-27e607164430.jpg
toys	USA 7	604	480x480-2f059494-b93b-461b-9cfe-b917473f39b3	https://static.dollarstreet.org/media/USA 7/image/2f059494-b93b-461b-9cfe-b917473f39b3/480x480-2f059494-b93b-461b-9cfe-b917473f39b3.jpg
toys	Jordan 4	7433	480x480-11b0d4ab-37ad-45d9-a11e-cd07ca53f459	https://static.dollarstreet.org/media/Jordan 4/image/11b0d4ab-37ad-45d9-a11e-cd07ca53f459/480x480-11b0d4ab-37ad-45d9-a11e-cd07ca53f459.jpg
toys	Haiti 3	39	480x480-6ec39058-2fcb-443a-b6c8-5b34c3f04fdc	https://static.dollarstreet.org/media/Haiti 3/image/6ec39058-2fcb-443a-b6c8-5b34c3f04fdc/480x480-6ec39058-2fcb-443a-b6c8-5b34c3f04fdc.jpg
toys	Cameroon 3`	227	480x480-a141f447-e09f-44cd-a2b6-f238f0b622b4	https://static.dollarstreet.org/media/Cameroon 3`/image/a141f447-e09f-44cd-a2b6-f238f0b622b4/480x480-a141f447-e09f-44cd-a2b6-f238f0b622b4.jpg
toys	Turkey 1	505	480x480-0494c1f0-84af-4256-b5cd-01862ccc2dfa	https://static.dollarstreet.org/media/Turkey 1/image/0494c1f0-84af-4256-b5cd-01862ccc2dfa/480x480-0494c1f0-84af-4256-b5cd-01862ccc2dfa.jpg
toys	Sweden 6	4883	480x480-367df92a-102d-4b9c-95ce-461cba8730fa	https://static.dollarstreet.org/media/Sweden 6/image/367df92a-102d-4b9c-95ce-461cba8730fa/480x480-367df92a-102d-4b9c-95ce-461cba8730fa.jpg
toys	Burundi 1	40	480x480-768e077a-db8e-46cc-bb8f-9b36a3b2c5d4	https://static.dollarstreet.org/media/Burundi 1/image/768e077a-db8e-46cc-bb8f-9b36a3b2c5d4/480x480-768e077a-db8e-46cc-bb8f-9b36a3b2c5d4.jpg
toys	India 11	170	480x480-78474887-bac1-4d41-8159-6bd8e2067aa6	https://static.dollarstreet.org/media/India 11/image/78474887-bac1-4d41-8159-6bd8e2067aa6/480x480-78474887-bac1-4d41-8159-6bd8e2067aa6.jpg
toys	Palestine 2	624	480x480-0bb7f599-7361-462e-ac0f-2ffe454af51e	https://static.dollarstreet.org/media/Palestine 2/image/0bb7f599-7361-462e-ac0f-2ffe454af51e/480x480-0bb7f599-7361-462e-ac0f-2ffe454af51e.jpg
toys	USA 6	4650	480x480-236f7720-f5a5-49a7-a3e8-9549045606b8	https://static.dollarstreet.org/media/USA 6/image/236f7720-f5a5-49a7-a3e8-9549045606b8/480x480-236f7720-f5a5-49a7-a3e8-9549045606b8.jpg
toys	Haiti 4	43	480x480-e208f1d8-84df-4193-b5de-3512138c6233	https://static.dollarstreet.org/media/Haiti 4/image/e208f1d8-84df-4193-b5de-3512138c6233/480x480-e208f1d8-84df-4193-b5de-3512138c6233.jpg
toys	Romania 3	163	480x480-bb662440-7fca-4568-8ab8-0bc2548e957f	https://static.dollarstreet.org/media/Romania 3/image/bb662440-7fca-4568-8ab8-0bc2548e957f/480x480-bb662440-7fca-4568-8ab8-0bc2548e957f.jpg
toys	Bulgaria 1	654	480x480-958dd48a-feea-4896-a636-b6a40b761d10	https://static.dollarstreet.org/media/Bulgaria 1/image/958dd48a-feea-4896-a636-b6a40b761d10/480x480-958dd48a-feea-4896-a636-b6a40b761d10.jpg
toys	China 15	4609	480x480-dcd762a1-e84b-4916-9eaf-f150852e3684	https://static.dollarstreet.org/media/China 15/image/dcd762a1-e84b-4916-9eaf-f150852e3684/480x480-dcd762a1-e84b-4916-9eaf-f150852e3684.jpg
toys	Burkina Faso 6	45	480x480-94988684-329d-447d-9fe7-c5b8a32e9d48	https://static.dollarstreet.org/media/Burkina Faso 6/image/94988684-329d-447d-9fe7-c5b8a32e9d48/480x480-94988684-329d-447d-9fe7-c5b8a32e9d48.jpg
toys	Philippines 5	238	480x480-a68baf69-5a65-4963-b1c0-bf0cabad136c	https://static.dollarstreet.org/media/Philippines 5/image/a68baf69-5a65-4963-b1c0-bf0cabad136c/480x480-a68baf69-5a65-4963-b1c0-bf0cabad136c.jpg
toys	Philippines 9	501	480x480-cfdba5f1-1a6c-44c3-a832-f20ffda784be	https://static.dollarstreet.org/media/Philippines 9/image/cfdba5f1-1a6c-44c3-a832-f20ffda784be/480x480-cfdba5f1-1a6c-44c3-a832-f20ffda784be.jpg
toys	France 1	3764	480x480-d0e70662-5a95-4703-ae64-ed1c845bff34	https://static.dollarstreet.org/media/France 1/image/d0e70662-5a95-4703-ae64-ed1c845bff34/480x480-d0e70662-5a95-4703-ae64-ed1c845bff34.jpg
toys	Myanmar 3	45	480x480-b7aaec00-f171-4145-a6ec-43e5dc3bde37	https://static.dollarstreet.org/media/Myanmar 3/image/b7aaec00-f171-4145-a6ec-43e5dc3bde37/480x480-b7aaec00-f171-4145-a6ec-43e5dc3bde37.jpg
toys	South Africa 1	148	480x480-fd9dfb6f-e8b3-461d-b7e7-369d07e07219	https://static.dollarstreet.org/media/South Africa 1/image/fd9dfb6f-e8b3-461d-b7e7-369d07e07219/480x480-fd9dfb6f-e8b3-461d-b7e7-369d07e07219.jpg
toys	Ukraine 1	694	480x480-e987fbf1-e1f9-477f-8ebe-a6457e58d62d	https://static.dollarstreet.org/media/Ukraine 1/image/e987fbf1-e1f9-477f-8ebe-a6457e58d62d/480x480-e987fbf1-e1f9-477f-8ebe-a6457e58d62d.jpg
toys	Melvina's home	3755	480x480-c88b7867-59d3-4c7e-8929-a8d0d1ad9b1e	https://static.dollarstreet.org/media/Melvina's home/image/c88b7867-59d3-4c7e-8929-a8d0d1ad9b1e/480x480-c88b7867-59d3-4c7e-8929-a8d0d1ad9b1e.jpg
toys	Malawi 3	46	480x480-6f65502a-f467-4ed2-8024-fac7583b642b	https://static.dollarstreet.org/media/Malawi 3/image/6f65502a-f467-4ed2-8024-fac7583b642b/480x480-6f65502a-f467-4ed2-8024-fac7583b642b.jpg
toys	India 1	245	480x480-da02bd3c-da09-4a42-9458-90c451ac1840	https://static.dollarstreet.org/media/India 1/image/da02bd3c-da09-4a42-9458-90c451ac1840/480x480-da02bd3c-da09-4a42-9458-90c451ac1840.jpg
toys	China 9	694	480x480-9cc0ab9f-97bd-4ac4-a197-6eeebbd15e7a	https://static.dollarstreet.org/media/China 9/image/9cc0ab9f-97bd-4ac4-a197-6eeebbd15e7a/480x480-9cc0ab9f-97bd-4ac4-a197-6eeebbd15e7a.jpg
toys	China 4	3704	480x480-1609803f-113e-4dc1-99ca-d3744457b3e8	https://static.dollarstreet.org/media/China 4/image/1609803f-113e-4dc1-99ca-d3744457b3e8/480x480-1609803f-113e-4dc1-99ca-d3744457b3e8.jpg
toys	Myanmar 5	47	480x480-71f76185-b065-4de9-8540-07a42a9a28a5	https://static.dollarstreet.org/media/Myanmar 5/image/71f76185-b065-4de9-8540-07a42a9a28a5/480x480-71f76185-b065-4de9-8540-07a42a9a28a5.jpg
toys	Colombia 1	145	480x480-32d5b108-5ee6-4870-9114-4582ac1b2101	https://static.dollarstreet.org/media/Colombia 1/image/32d5b108-5ee6-4870-9114-4582ac1b2101/480x480-32d5b108-5ee6-4870-9114-4582ac1b2101.jpg
toys	Rwanda 1	460	480x480-01df145b-18a6-4118-8af9-0c5e174f9d99	https://static.dollarstreet.org/media/Rwanda 1/image/01df145b-18a6-4118-8af9-0c5e174f9d99/480x480-01df145b-18a6-4118-8af9-0c5e174f9d99.jpg
toys	USA 15	3450	480x480-9e454534-c5db-4160-97d1-d12c1a5cd62a	https://static.dollarstreet.org/media/USA 15/image/9e454534-c5db-4160-97d1-d12c1a5cd62a/480x480-9e454534-c5db-4160-97d1-d12c1a5cd62a.jpg
toys	Liberia 4	48	480x480-dbf93f50-363a-42cc-978d-7018945b6f0e	https://static.dollarstreet.org/media/Liberia 4/image/dbf93f50-363a-42cc-978d-7018945b6f0e/480x480-dbf93f50-363a-42cc-978d-7018945b6f0e.jpg
toys	Jordan 3	249	480x480-658b6ab7-b5f7-4c94-aaef-415175b8f3e3	https://static.dollarstreet.org/media/Jordan 3/image/658b6ab7-b5f7-4c94-aaef-415175b8f3e3/480x480-658b6ab7-b5f7-4c94-aaef-415175b8f3e3.jpg
toys	India 23	753	480x480-ef8af2f8-9558-4989-b594-235f59f1b406	https://static.dollarstreet.org/media/India 23/image/ef8af2f8-9558-4989-b594-235f59f1b406/480x480-ef8af2f8-9558-4989-b594-235f59f1b406.jpg
toys	Sweden 7	3439	480x480-2a7d99d0-44ef-49fe-8a24-a09216db37b0	https://static.dollarstreet.org/media/Sweden 7/image/2a7d99d0-44ef-49fe-8a24-a09216db37b0/480x480-2a7d99d0-44ef-49fe-8a24-a09216db37b0.jpg
toys	India 13	48	480x480-e713bdc6-15e6-424e-8bc2-78ea33e44687	https://static.dollarstreet.org/media/India 13/image/e713bdc6-15e6-424e-8bc2-78ea33e44687/480x480-e713bdc6-15e6-424e-8bc2-78ea33e44687.jpg
toys	Rwanda 2	251	480x480-a6f3c8fb-1a12-4065-8c69-bb131677b5c0	https://static.dollarstreet.org/media/Rwanda 2/image/a6f3c8fb-1a12-4065-8c69-bb131677b5c0/480x480-a6f3c8fb-1a12-4065-8c69-bb131677b5c0.jpg
toys	Egypt 1	775	480x480-d25822d8-875d-444a-93e2-d0a2429b1343	https://static.dollarstreet.org/media/Egypt 1/image/d25822d8-875d-444a-93e2-d0a2429b1343/480x480-d25822d8-875d-444a-93e2-d0a2429b1343.jpg
toys	Kenya 2	3268	480x480-332258be-8562-4b5b-8cd4-0c247ff0fa3f	https://static.dollarstreet.org/media/Kenya 2/image/332258be-8562-4b5b-8cd4-0c247ff0fa3f/480x480-332258be-8562-4b5b-8cd4-0c247ff0fa3f.jpg
toys	Malawi 7	50	480x480-0c582b73-335e-4e86-9604-68638f92e7ea	https://static.dollarstreet.org/media/Malawi 7/image/0c582b73-335e-4e86-9604-68638f92e7ea/480x480-0c582b73-335e-4e86-9604-68638f92e7ea.jpg
toys	Bolivia 2	254	480x480-a49fd28c-99b2-40ea-b446-c967ad08dd72	https://static.dollarstreet.org/media/Bolivia 2/image/a49fd28c-99b2-40ea-b446-c967ad08dd72/480x480-a49fd28c-99b2-40ea-b446-c967ad08dd72.jpg
toys	Cambodia 4	437	480x480-ed613d5c-2305-4c27-bede-c98fc8ec085a	https://static.dollarstreet.org/media/Cambodia 4/image/ed613d5c-2305-4c27-bede-c98fc8ec085a/480x480-ed613d5c-2305-4c27-bede-c98fc8ec085a.jpg
toys	Vietnam 5	2944	480x480-b2ca34ac-4cec-4cd8-8b71-0eca14a57ce6	https://static.dollarstreet.org/media/Vietnam 5/image/b2ca34ac-4cec-4cd8-8b71-0eca14a57ce6/480x480-b2ca34ac-4cec-4cd8-8b71-0eca14a57ce6.jpg
toys	Papa New Guinea 1	50	480x480-388441e1-19ac-414b-b154-8701b97f6ef6	https://static.dollarstreet.org/media/Papa New Guinea 1/image/388441e1-19ac-414b-b154-8701b97f6ef6/480x480-388441e1-19ac-414b-b154-8701b97f6ef6.jpg
toys	India 16	135	480x480-3cc2eb8d-eb50-4d9f-b44d-fecfee6e37fb	https://static.dollarstreet.org/media/India 16/image/3cc2eb8d-eb50-4d9f-b44d-fecfee6e37fb/480x480-3cc2eb8d-eb50-4d9f-b44d-fecfee6e37fb.jpg
toys	USA 8	855	480x480-d339e2f6-3217-49b0-99f4-b6bf1411ad30	https://static.dollarstreet.org/media/USA 8/image/d339e2f6-3217-49b0-99f4-b6bf1411ad30/480x480-d339e2f6-3217-49b0-99f4-b6bf1411ad30.jpg
toys	France 2	2895	480x480-12cebf60-ae2c-4274-82c3-a362bbf18c51	https://static.dollarstreet.org/media/France 2/image/12cebf60-ae2c-4274-82c3-a362bbf18c51/480x480-12cebf60-ae2c-4274-82c3-a362bbf18c51.jpg
toys	Haiti 2	51	480x480-41e6e54f-ae76-4f55-a62b-c052bdddbb78	https://static.dollarstreet.org/media/Haiti 2/image/41e6e54f-ae76-4f55-a62b-c052bdddbb78/480x480-41e6e54f-ae76-4f55-a62b-c052bdddbb78.jpg
toys	Bolivia 1	265	480x480-6ad87c3c-2b6f-4b32-82fa-76f23c26ad7b	https://static.dollarstreet.org/media/Bolivia 1/image/6ad87c3c-2b6f-4b32-82fa-76f23c26ad7b/480x480-6ad87c3c-2b6f-4b32-82fa-76f23c26ad7b.jpg
toys	Thailand 2	375	480x480-959ad4d2-db73-4465-864c-5966eb33d4f9	https://static.dollarstreet.org/media/Thailand 2/image/959ad4d2-db73-4465-864c-5966eb33d4f9/480x480-959ad4d2-db73-4465-864c-5966eb33d4f9.jpg
toys	China 16	2765	480x480-7329b310-e5f6-4b71-8e6b-f30f446efb00	https://static.dollarstreet.org/media/China 16/image/7329b310-e5f6-4b71-8e6b-f30f446efb00/480x480-7329b310-e5f6-4b71-8e6b-f30f446efb00.jpg
toys	Burkina Faso 5	54	480x480-0f7dfd36-9f20-4b05-8317-a3f16241142f	https://static.dollarstreet.org/media/Burkina Faso 5/image/0f7dfd36-9f20-4b05-8317-a3f16241142f/480x480-0f7dfd36-9f20-4b05-8317-a3f16241142f.jpg
toys	Bangladesh 4	125	480x480-6f48e09a-b620-4d8d-a84f-22423688b2c3	https://static.dollarstreet.org/media/Bangladesh 4/image/6f48e09a-b620-4d8d-a84f-22423688b2c3/480x480-6f48e09a-b620-4d8d-a84f-22423688b2c3.jpg
toys	Mexico 3	897	480x480-3ae9ef00-3f02-4a33-9eaa-76760f9d49b7	https://static.dollarstreet.org/media/Mexico 3/image/3ae9ef00-3f02-4a33-9eaa-76760f9d49b7/480x480-3ae9ef00-3f02-4a33-9eaa-76760f9d49b7.jpg
toys	Sweden 8	2223	480x480-717963af-337f-49d0-b5ac-924989149090	https://static.dollarstreet.org/media/Sweden 8/image/717963af-337f-49d0-b5ac-924989149090/480x480-717963af-337f-49d0-b5ac-924989149090.jpg
toys	Cambodia 8	60	480x480-a9c84a29-eab2-4b1c-9c06-37044319b7f9	https://static.dollarstreet.org/media/Cambodia 8/image/a9c84a29-eab2-4b1c-9c06-37044319b7f9/480x480-a9c84a29-eab2-4b1c-9c06-37044319b7f9.jpg
toys	Nigeria 1	124	480x480-43c4f6f3-fc09-40b2-92c7-42241ef0e62a	https://static.dollarstreet.org/media/Nigeria 1/image/43c4f6f3-fc09-40b2-92c7-42241ef0e62a/480x480-43c4f6f3-fc09-40b2-92c7-42241ef0e62a.jpg
toys	Jordan 1	366	480x480-0642ad93-b544-40a3-bba3-eb0a69ac49cb	https://static.dollarstreet.org/media/Jordan 1/image/0642ad93-b544-40a3-bba3-eb0a69ac49cb/480x480-0642ad93-b544-40a3-bba3-eb0a69ac49cb.jpg
toys	USA 2	2041	480x480-b7f02f5d-5d16-45c1-a057-46bc3d7dafe7	https://static.dollarstreet.org/media/USA 2/image/b7f02f5d-5d16-45c1-a057-46bc3d7dafe7/480x480-b7f02f5d-5d16-45c1-a057-46bc3d7dafe7.jpg
toys	Ivory Coast 5	61	480x480-1fa3f1d2-3322-44f7-89f7-6cbd303efc84	https://static.dollarstreet.org/media/Ivory Coast 5/image/1fa3f1d2-3322-44f7-89f7-6cbd303efc84/480x480-1fa3f1d2-3322-44f7-89f7-6cbd303efc84.jpg
toys	Indonesia 3	284	480x480-5740a22e-0cbb-445a-b7dc-642e12acdc92	https://static.dollarstreet.org/media/Indonesia 3/image/5740a22e-0cbb-445a-b7dc-642e12acdc92/480x480-5740a22e-0cbb-445a-b7dc-642e12acdc92.jpg
toys	Brazil 1	956	480x480-b372adf5-7a7f-4111-b810-8eba60b0d4f0	https://static.dollarstreet.org/media/Brazil 1/image/b372adf5-7a7f-4111-b810-8eba60b0d4f0/480x480-b372adf5-7a7f-4111-b810-8eba60b0d4f0.jpg
toys	United Kingdom 3	2010	480x480-cd6e1aaa-f27b-4611-860d-251020ef5768	https://static.dollarstreet.org/media/United Kingdom 3/image/cd6e1aaa-f27b-4611-860d-251020ef5768/480x480-cd6e1aaa-f27b-4611-860d-251020ef5768.jpg
toys	India 9	65	480x480-90b15798-9b57-4e87-bc02-5578bc9845ed	https://static.dollarstreet.org/media/India 9/image/90b15798-9b57-4e87-bc02-5578bc9845ed/480x480-90b15798-9b57-4e87-bc02-5578bc9845ed.jpg
toys	Colombia 3	123	480x480-f0df3079-e1f2-4c53-8136-50055b430350	https://static.dollarstreet.org/media/Colombia 3/image/f0df3079-e1f2-4c53-8136-50055b430350/480x480-f0df3079-e1f2-4c53-8136-50055b430350.jpg
toys	Thailand 4	324	480x480-bdbb0103-58d1-41a9-a522-2f4ceab12959	https://static.dollarstreet.org/media/Thailand 4/image/bdbb0103-58d1-41a9-a522-2f4ceab12959/480x480-bdbb0103-58d1-41a9-a522-2f4ceab12959.jpg
toys	USA 9	2001	480x480-d0186db8-43bf-46b7-b9a8-f4f7e3292355	https://static.dollarstreet.org/media/USA 9/image/d0186db8-43bf-46b7-b9a8-f4f7e3292355/480x480-d0186db8-43bf-46b7-b9a8-f4f7e3292355.jpg
toys	Nigeria 7	68	480x480-e701b362-6f2f-49d7-99a5-4b2fd182fcbe	https://static.dollarstreet.org/media/Nigeria 7/image/e701b362-6f2f-49d7-99a5-4b2fd182fcbe/480x480-e701b362-6f2f-49d7-99a5-4b2fd182fcbe.jpg
toys	Cambodia 1	295	480x480-0df594c6-e50f-47b8-b416-93aa5a9fed55	https://static.dollarstreet.org/media/Cambodia 1/image/0df594c6-e50f-47b8-b416-93aa5a9fed55/480x480-0df594c6-e50f-47b8-b416-93aa5a9fed55.jpg
toys	Romania 1	1019	480x480-bf67450a-9e66-4830-ae55-6d201b489638	https://static.dollarstreet.org/media/Romania 1/image/bf67450a-9e66-4830-ae55-6d201b489638/480x480-bf67450a-9e66-4830-ae55-6d201b489638.jpg
toys	United Kingdom 2	1890	480x480-8f3d9cfb-864a-4460-b1c3-9e49b6ed17cf	https://static.dollarstreet.org/media/United Kingdom 2/image/8f3d9cfb-864a-4460-b1c3-9e49b6ed17cf/480x480-8f3d9cfb-864a-4460-b1c3-9e49b6ed17cf.jpg
toys	India 8	80	480x480-1355b36c-7df1-4305-9cb0-c73ff59d8115	https://static.dollarstreet.org/media/India 8/image/1355b36c-7df1-4305-9cb0-c73ff59d8115/480x480-1355b36c-7df1-4305-9cb0-c73ff59d8115.jpg
toys	Tunisia 3	116	480x480-e2e17051-a821-4b48-9fc5-7e70cdc05ac5	https://static.dollarstreet.org/media/Tunisia 3/image/e2e17051-a821-4b48-9fc5-7e70cdc05ac5/480x480-e2e17051-a821-4b48-9fc5-7e70cdc05ac5.jpg
toys	Jordan 2	583	480x480-9013e658-c778-444c-9c0c-ab9178ee4422	https://static.dollarstreet.org/media/Jordan 2/image/9013e658-c778-444c-9c0c-ab9178ee4422/480x480-9013e658-c778-444c-9c0c-ab9178ee4422.jpg
toys	USA 14	1796	480x480-98908f52-150e-474b-bf3a-b417c76951d0	https://static.dollarstreet.org/media/USA 14/image/98908f52-150e-474b-bf3a-b417c76951d0/480x480-98908f52-150e-474b-bf3a-b417c76951d0.jpg
toys	Ivory Coast 3	81	480x480-61658b92-66b8-4153-867b-fd2b46f586c9	https://static.dollarstreet.org/media/Ivory Coast 3/image/61658b92-66b8-4153-867b-fd2b46f586c9/480x480-61658b92-66b8-4153-867b-fd2b46f586c9.jpg
toys	Indonesia 13	308	480x480-d9ea2b6a-041c-4652-9015-39ec1dc2c318	https://static.dollarstreet.org/media/Indonesia 13/image/d9ea2b6a-041c-4652-9015-39ec1dc2c318/480x480-d9ea2b6a-041c-4652-9015-39ec1dc2c318.jpg
toys	Latvia 4	480	480x480-4599fe9b-f699-4cd6-9c9c-e9e761b0138f	https://static.dollarstreet.org/media/Latvia 4/image/4599fe9b-f699-4cd6-9c9c-e9e761b0138f/480x480-4599fe9b-f699-4cd6-9c9c-e9e761b0138f.jpg
