category	country	value	filename	url
trash	Burundi 3	27	480x480-73c4457c-5bbe-4420-af69-cd8a82f2b513	https://static.dollarstreet.org/media/Burundi 3/image/73c4457c-5bbe-4420-af69-cd8a82f2b513/480x480-73c4457c-5bbe-4420-af69-cd8a82f2b513.jpg
trash	Thailand 3	179	480x480-499d7d04-63d3-47ce-afa0-cf3c7748279b	https://static.dollarstreet.org/media/Thailand 3/image/499d7d04-63d3-47ce-afa0-cf3c7748279b/480x480-499d7d04-63d3-47ce-afa0-cf3c7748279b.jpg
trash	Jordan 2	583	480x480-523dcc3b-bb74-49c3-995f-be5f80a3dce3	https://static.dollarstreet.org/media/Jordan 2/image/523dcc3b-bb74-49c3-995f-be5f80a3dce3/480x480-523dcc3b-bb74-49c3-995f-be5f80a3dce3.jpg
trash	Ukraine 2	10090	480x480-08523b4f-9f7f-4237-b13e-c68db132a21f	https://static.dollarstreet.org/media/Ukraine 2/image/08523b4f-9f7f-4237-b13e-c68db132a21f/480x480-08523b4f-9f7f-4237-b13e-c68db132a21f.jpg
trash	India 12	29	480x480-56dead11-5c1b-4552-b36d-32a44ea009b2	https://static.dollarstreet.org/media/India 12/image/56dead11-5c1b-4552-b36d-32a44ea009b2/480x480-56dead11-5c1b-4552-b36d-32a44ea009b2.jpg
trash	Tunisia 1	176	480x480-c7aebf4b-db6c-4f95-b670-ac51a80754ef	https://static.dollarstreet.org/media/Tunisia 1/image/c7aebf4b-db6c-4f95-b670-ac51a80754ef/480x480-c7aebf4b-db6c-4f95-b670-ac51a80754ef.jpg
trash	USA 7	604	480x480-1b7188c2-5f6e-46b8-8474-12dac146feb8	https://static.dollarstreet.org/media/USA 7/image/1b7188c2-5f6e-46b8-8474-12dac146feb8/480x480-1b7188c2-5f6e-46b8-8474-12dac146feb8.jpg
trash	Jordan 4	7433	480x480-7e3d54f9-205a-4a48-9fc6-65948e656dfb	https://static.dollarstreet.org/media/Jordan 4/image/7e3d54f9-205a-4a48-9fc6-65948e656dfb/480x480-7e3d54f9-205a-4a48-9fc6-65948e656dfb.jpg
trash	Malawi 6	30	480x480-eb455677-0a38-4a1e-b09f-15d3c18cbaf2	https://static.dollarstreet.org/media/Malawi 6/image/eb455677-0a38-4a1e-b09f-15d3c18cbaf2/480x480-eb455677-0a38-4a1e-b09f-15d3c18cbaf2.jpg
trash	Bolivia 3	180	480x480-e76a0278-0c30-438c-b931-d8f4ca87fa97	https://static.dollarstreet.org/media/Bolivia 3/image/e76a0278-0c30-438c-b931-d8f4ca87fa97/480x480-e76a0278-0c30-438c-b931-d8f4ca87fa97.jpg
